fortune_name,community_composite,community_affiliation,community_cosine,community_rbo,consensus_count,stability_label
THERMO FISHER SCIENTIFIC,9.0,0,6.0,2.0,0,composite_divergent
TIAA,1.0,1,1.0,1.0,3,fully_stable
TRAVELERS,1.0,1,1.0,1.0,3,fully_stable
U.S. BANCORP,1.0,1,1.0,1.0,3,fully_stable
UNION PACIFIC,10.0,0,3.0,10.0,1,partially_stable
UNITED AIRLINES HOLDINGS,7.0,0,6.0,6.0,0,composite_divergent
UNITED PARCEL SERVICE,7.0,1,6.0,6.0,0,composite_divergent
UNITED TECHNOLOGIES,0.0,0,6.0,6.0,1,partially_stable
USAA,1.0,1,1.0,1.0,3,fully_stable
VALERO ENERGY,0.0,4,3.0,0.0,1,partially_stable
VERIZON,8.0,5,0.0,0.0,0,composite_divergent
VF,0.0,4,3.0,6.0,0,composite_divergent
VISA,1.0,1,1.0,1.0,3,fully_stable
W.R. BERKLEY,1.0,1,4.0,7.0,1,partially_stable
WALGREENS BOOTS ALLIANCE,2.0,2,2.0,2.0,3,fully_stable
WALMART,2.0,2,2.0,2.0,3,fully_stable
WALT DISNEY,2.0,5,0.0,2.0,1,partially_stable
WASTE MANAGEMENT,15.0,0,6.0,15.0,1,partially_stable
WEC ENERGY GROUP,,4,,,0,absent_from_composite
WELLS FARGO,1.0,1,1.0,1.0,3,fully_stable
WESCO INTERNATIONAL,1.0,1,4.0,7.0,1,partially_stable
WESTERN DIGITAL,16.0,5,0.0,6.0,0,composite_divergent
WESTERN UNION,1.0,1,4.0,7.0,1,partially_stable
WESTROCK,6.0,0,6.0,6.0,2,partially_stable
WEYERHAEUSER,0.0,0,6.0,6.0,1,partially_stable
WHIRLPOOL,6.0,4,6.0,6.0,2,partially_stable
WINDSTREAM HOLDINGS,0.0,5,0.0,0.0,2,partially_stable
XCEL ENERGY,4.0,4,3.0,4.0,2,partially_stable
XEROX,1.0,1,1.0,1.0,3,fully_stable
YUM BRANDS,5.0,5,5.0,5.0,3,fully_stable
YUM CHINA HOLDINGS,,1,1.0,,0,absent_from_composite
ZIMMER BIOMET HOLDINGS,0.0,2,0.0,10.0,1,partially_stable
