firm,community,within_comm_eigenvector,z_score,participation_coeff,global_pagerank,ga_role
OWENS CORNING,2,0.140023,1.0955,0.7069,0.004012,non_hub_connector
JPMORGAN CHASE & CO.,1,0.137879,1.2996,0.7212,0.004216,non_hub_connector
AMAZON,0,0.136766,1.2425,0.6981,0.004438,non_hub_connector
HONEYWELL INTERNATIONAL,0,0.136637,1.2312,0.6999,0.004527,non_hub_connector
TARGET,1,0.135931,1.2009,0.7338,0.004446,non_hub_connector
INTUIT,1,0.135845,1.2249,0.7177,0.004267,non_hub_connector
CMS ENERGY,0,0.135773,1.196,0.706,0.004644,non_hub_connector
WALMART,2,0.135264,0.9067,0.7289,0.004313,non_hub_connector
WHIRLPOOL,2,0.135212,0.9618,0.7249,0.00386,non_hub_connector
AMERIPRISE FINANCIAL,1,0.134991,1.2629,0.7111,0.003317,non_hub_connector
PHILLIPS 66,2,0.134977,0.8425,0.7171,0.003992,non_hub_connector
USAA,1,0.134369,1.1934,0.7162,0.004347,non_hub_connector
STATE STREET CORP.,1,0.134323,1.261,0.7131,0.003435,non_hub_connector
NUCOR,2,0.134312,0.9407,0.6982,0.003404,non_hub_connector
LOWE'S,2,0.13356,0.8317,0.7223,0.004386,non_hub_connector
METLIFE,1,0.133189,1.1376,0.7229,0.004257,non_hub_connector
MORGAN STANLEY,1,0.132516,1.2269,0.7151,0.003564,non_hub_connector
DELL TECHNOLOGIES,0,0.132184,1.137,0.7012,0.00436,non_hub_connector
LABORATORY CORP. OF AMERICA,3,0.13193,-0.2532,0.7318,0.00284,non_hub_connector
INTEL,0,0.131901,1.1209,0.7062,0.004441,non_hub_connector
DAVITA,3,0.13188,-0.3746,0.7084,0.001643,non_hub_connector
PACIFIC LIFE,1,0.131741,1.1647,0.7168,0.003584,non_hub_connector
EXELON,0,0.131729,1.0859,0.7082,0.004581,non_hub_connector
GENERAL MOTORS,0,0.131626,1.0787,0.7125,0.004619,non_hub_connector
MUTUAL OF OMAHA INSURANCE,3,0.131574,-0.5097,0.7354,0.003269,non_hub_connector
LIBERTY MUTUAL INSURANCE GROUP,1,0.131512,1.1418,0.7258,0.004094,non_hub_connector
EMERSON ELECTRIC,2,0.130887,0.7009,0.7206,0.003982,non_hub_connector
SYSCO,2,0.130831,0.7868,0.7285,0.003963,non_hub_connector
EASTMAN CHEMICAL,2,0.130232,0.7653,0.7239,0.003905,non_hub_connector
FORD,0,0.130133,1.0344,0.7144,0.004676,non_hub_connector
ENTERGY,0,0.129746,1.0924,0.6873,0.004115,non_hub_connector
