firm,community,within_comm_eigenvector,z_score,participation_coeff,global_pagerank,ga_role
OSHKOSH,1,0.023679,-1.2445,0.2941,0.001277,peripheral
MGM RESORTS INTERNATIONAL,1,0.023397,-1.2732,0.5814,0.001606,peripheral
NAVIENT,4,0.023235,-1.9529,0.7036,0.000821,non_hub_connector
UNUM GROUP,0,0.021947,-1.0203,0.5156,0.001308,peripheral
ARAMARK,3,0.020163,-1.2328,0.7352,0.001886,non_hub_connector
BOSTON SCIENTIFIC,3,0.019875,-1.1086,0.6962,0.002045,non_hub_connector
WHIRLPOOL,2,0.019094,-0.9472,0.5464,0.001401,peripheral
POLARIS INDUSTRIES,1,0.017764,-1.3908,0.4137,0.00102,peripheral
GOLDMAN SACHS GROUP,0,0.017229,-0.8634,0.0565,0.001174,peripheral
WINDSTREAM HOLDINGS,1,0.016388,-1.3783,0.1772,0.000919,peripheral
ABM INDUSTRIES,2,0.015613,-1.0677,0.4573,0.000912,peripheral
QURATE RETAIL,0,0.015498,-0.9581,0.3903,0.001274,peripheral
CHEVRON,2,0.014558,-1.0003,0.6546,0.001306,non_hub_connector
EASTMAN CHEMICAL,2,0.014274,-0.9658,0.5792,0.00138,peripheral
LENNAR,2,0.014205,-1.0076,0.6277,0.00146,non_hub_connector
ADVANCED MICRO DEVICES,1,0.012968,-1.2982,0.351,0.001242,peripheral
CHENIERE ENERGY,2,0.012521,-1.0285,0.0468,0.000912,ultra_peripheral
LIBERTY MEDIA,0,0.011502,-1.0219,0.3942,0.001155,peripheral
M&T BANK CORP.,0,0.011209,-1.0571,-0.0,0.000922,ultra_peripheral
W.R. BERKLEY,0,0.010597,-1.1079,0.7109,0.001238,non_hub_connector
SHERWIN-WILLIAMS,2,0.010399,-1.0286,0.5606,0.00113,peripheral
HORMEL FOODS,2,0.009327,-1.0641,0.5924,0.001117,peripheral
ANTHEM,3,0.008378,-1.4438,0.4936,0.000742,peripheral
WASTE MANAGEMENT,2,0.008243,-1.0697,0.5084,0.00106,peripheral
WESTERN DIGITAL,1,0.007991,-1.4194,0.3377,0.00098,peripheral
GENERAL MILLS,3,0.007845,-1.3534,0.7063,0.001163,non_hub_connector
ARCONIC,2,0.007407,-1.1437,0.612,0.000852,peripheral
BORGWARNER,2,0.007129,-1.1276,0.4983,0.00095,peripheral
EBAY,3,0.003631,-1.4714,0.5545,0.000678,peripheral
NCR,0,0.00362,-1.2854,0.5349,0.000643,peripheral
CELANESE,0,0.003574,-1.2169,0.6055,0.000804,peripheral
CONAGRA BRANDS,1,0.003549,-1.5644,0.4365,0.000688,peripheral
OLIN,2,0.003434,-1.2066,0.4998,0.000664,peripheral
ZOETIS,2,0.003328,-1.1687,0.6652,0.000825,non_hub_connector
EMERSON ELECTRIC,2,0.002869,-1.1454,0.3104,0.000782,peripheral
YUM CHINA HOLDINGS,0,0.002616,-1.2932,-0.0,0.000605,ultra_peripheral
CAMPBELL SOUP,1,0.002373,-1.4792,0.2799,0.000879,peripheral
LAS VEGAS SANDS,0,0.002293,-1.2722,0.6574,0.000772,non_hub_connector
ESTEE LAUDER,2,0.001408,-1.1817,0.2052,0.00127,peripheral
CLOROX,2,0.001252,-1.1841,0.2161,0.001255,peripheral
HARLEY-DAVIDSON,0,0.001153,-1.2785,0.5527,0.00066,peripheral
KIMBERLY-CLARK,0,0.001008,-1.3015,0.6313,0.000628,non_hub_connector
LKQ,1,0.000984,-1.6112,0.0,0.000585,ultra_peripheral
DEERE,1,0.000639,-1.6168,0.0,0.000577,ultra_peripheral
ENTERPRISE PRODUCTS PARTNERS,0,0.000609,-1.31,0.0,0.000588,ultra_peripheral
MASCO,2,0.000389,-1.213,0.4896,0.00068,peripheral
HALLIBURTON,2,0.000276,-1.2434,0.0,0.000568,ultra_peripheral
STARBUCKS,3,0.000253,-1.5263,0.0,0.000568,ultra_peripheral
OWENS & MINOR,3,0.000248,-1.5038,0.3699,0.000614,peripheral
BROADCOM,1,0.000245,-1.6231,0.0,0.000569,ultra_peripheral
RYDER SYSTEM,3,0.000173,-1.5262,0.0,0.00057,ultra_peripheral
VISTRA ENERGY,0,0.000161,-1.324,0.3485,0.000569,peripheral
BOOKING HOLDINGS,0,0.000131,-1.322,0.0,0.000576,ultra_peripheral
EOG RESOURCES,2,0.000112,-1.2441,0.1091,0.000568,peripheral
STRYKER,2,0.000111,-1.2446,0.0,0.000566,ultra_peripheral
NETFLIX,0,8.1e-05,-1.3254,0.0,0.000567,ultra_peripheral
MARATHON OIL,2,6.1e-05,-1.2448,0.0,0.000566,ultra_peripheral
