firm,community,within_comm_eigenvector,z_score,participation_coeff,global_pagerank,katz_centrality,ga_role
ELI LILLY,1,0.00015,-1.0521,0.0,0.001633,0.021422,ultra_peripheral
LAND O'LAKES,3,0.000142,-0.7857,0.3815,0.003421,0.024901,peripheral
ABBOTT LABORATORIES,3,9.9e-05,-0.8203,0.3033,0.003158,0.024315,peripheral
QURATE RETAIL,4,8.3e-05,-1.0465,0.0,0.00198,0.021417,ultra_peripheral
ADP,3,6.8e-05,-1.4222,0.0,0.000884,0.021134,ultra_peripheral
PEABODY ENERGY,2,4.5e-05,-2.2795,0.4736,0.00135,0.021315,peripheral
OWENS CORNING,2,2.7e-05,-2.2858,0.0,0.00169,0.021129,ultra_peripheral
ARCHER DANIELS MIDLAND,3,2e-05,-1.025,0.0,0.002227,0.021932,ultra_peripheral
KIMBERLY-CLARK,3,5e-06,-1.4222,0.0,0.000957,0.021105,ultra_peripheral
MCKESSON,2,0.0,-2.3003,0.4205,0.001029,0.021048,peripheral
