firm,community,within_comm_eigenvector,z_score,participation_coeff,global_pagerank,ga_role
W.R. BERKLEY,0,0.010171,-1.3116,0.0,0.001161,ultra_peripheral
LAS VEGAS SANDS,2,0.009664,-0.982,0.0,0.000756,ultra_peripheral
TARGET,4,0.008557,-1.4046,0.626,0.002009,non_hub_connector
NAVIENT,5,0.007997,-1.2634,0.6323,0.000807,non_hub_connector
TWENTY-FIRST CENTURY FOX,2,0.007371,-0.639,0.3024,0.00227,peripheral
WINDSTREAM HOLDINGS,2,0.006947,-0.993,0.496,0.000839,peripheral
UNUM GROUP,0,0.006717,-1.3312,0.0,0.001392,ultra_peripheral
M&T BANK CORP.,0,0.006166,-1.1465,0.0,0.001568,ultra_peripheral
CONAGRA BRANDS,2,0.005886,-0.9655,0.6402,0.001119,non_hub_connector
CAMPBELL SOUP,2,0.005145,-0.8341,0.0,0.001633,ultra_peripheral
VIACOM,2,0.003997,-0.7753,0.0,0.001542,ultra_peripheral
OLIN,1,0.002721,-1.2692,0.0,0.000698,ultra_peripheral
EMERSON ELECTRIC,1,0.001716,-1.1653,0.0,0.000907,ultra_peripheral
EBAY,4,0.001057,-1.5857,0.0,0.000783,ultra_peripheral
HARLEY-DAVIDSON,2,0.000992,-1.0308,0.0,0.000656,ultra_peripheral
ARCONIC,1,0.000696,-1.277,0.5,0.000751,peripheral
ARTHUR J. GALLAGHER,2,0.000601,-0.9655,0.4448,0.00178,peripheral
SHERWIN-WILLIAMS,1,0.00031,-1.2925,0.0,0.00067,ultra_peripheral
MOSAIC,2,5e-06,-1.0308,0.0,0.000811,ultra_peripheral
