firm,community,within_comm_eigenvector,z_score,participation_coeff,global_pagerank,ga_role
CSX,1,0.027724,-0.8029,0.0,0.002879,ultra_peripheral
CHEVRON,1,0.02759,-1.3042,0.6843,0.003296,non_hub_connector
SHERWIN-WILLIAMS,3,0.027195,-1.2744,0.5988,0.00123,peripheral
MGM RESORTS INTERNATIONAL,4,0.024984,-1.7673,0.4986,0.001422,peripheral
UNION PACIFIC,1,0.024617,-1.0974,0.304,0.002522,peripheral
LAS VEGAS SANDS,2,0.024357,-0.9102,0.6408,0.001895,non_hub_connector
WASTE MANAGEMENT,6,0.021116,-0.9382,0.6767,0.00247,non_hub_connector
MOTOROLA SOLUTIONS,2,0.019772,-0.9668,0.0,0.00113,ultra_peripheral
MCKESSON,5,0.017419,-1.8191,0.4525,0.001568,peripheral
LIBERTY MUTUAL INSURANCE GROUP,0,0.01624,-1.0467,0.3468,0.001796,peripheral
TENET HEALTHCARE,1,0.01512,-1.6201,0.563,0.001276,peripheral
ARTHUR J. GALLAGHER,3,0.014124,-0.8273,0.229,0.002751,peripheral
STATE FARM INSURANCE,0,0.013288,-0.9676,0.3869,0.002126,peripheral
ARAMARK,2,0.013277,-0.9941,0.0,0.00106,ultra_peripheral
EBAY,6,0.012186,-1.2776,0.0,0.001258,ultra_peripheral
QUALCOMM,3,0.012127,-1.3845,0.0,0.000826,ultra_peripheral
DEERE,2,0.012035,-1.0855,0.0,0.000825,ultra_peripheral
LAND O'LAKES,6,0.011533,-1.6563,0.0,0.000846,ultra_peripheral
KIMBERLY-CLARK,6,0.011512,-1.4988,0.4604,0.001125,peripheral
ASSURANT,0,0.011319,-1.1895,0.0,0.001097,ultra_peripheral
BORGWARNER,2,0.01103,-1.1008,0.497,0.000887,peripheral
CONAGRA BRANDS,2,0.010876,-0.9531,0.6402,0.001601,non_hub_connector
IHEARTMEDIA,2,0.00767,-1.1079,0.0,0.000778,ultra_peripheral
ALTRIA GROUP,0,0.007266,-1.3422,0.0,0.000721,ultra_peripheral
HALLIBURTON,1,0.007076,-1.691,0.0,0.000914,ultra_peripheral
BLACKROCK,0,0.006442,-1.3312,0.0,0.000745,ultra_peripheral
DAVITA,0,0.005985,-1.3256,0.4892,0.000871,peripheral
LKQ,2,0.005628,-1.0391,0.0,0.000952,ultra_peripheral
ABBOTT LABORATORIES,3,0.004289,-1.2605,0.0,0.001245,ultra_peripheral
