source,target,weight,rbo,source_firsts,target_firsts,tie_count,shared_bills,net_temporal
IBM,ABBVIE,0.009764,0.019529,0,0,2,2,0
ABBVIE,INTERNATIONAL PAPER,0.003781,0.007563,0,0,1,1,0
INTERNATIONAL PAPER,ABBVIE,0.003781,0.007563,0,0,1,1,0
ABBVIE,JOHNSON & JOHNSON,0.018589,0.026024,3,0,4,7,3
JOHNSON & JOHNSON,ABBVIE,0.007436,0.026024,0,3,4,7,-3
ABBVIE,LABORATORY CORP. OF AMERICA,0.013293,0.026586,0,0,1,1,0
LABORATORY CORP. OF AMERICA,ABBVIE,0.013293,0.026586,0,0,1,1,0
ABBVIE,LEIDOS HOLDINGS,0.003195,0.006389,0,0,1,1,0
LEIDOS HOLDINGS,ABBVIE,0.003195,0.006389,0,0,1,1,0
ABBVIE,LOCKHEED MARTIN,0.001296,0.002592,0,0,1,1,0
LOCKHEED MARTIN,ABBVIE,0.001296,0.002592,0,0,1,1,0
ABBVIE,MAGELLAN HEALTH,0.070838,0.141677,0,0,5,5,0
MAGELLAN HEALTH,ABBVIE,0.070838,0.141677,0,0,5,5,0
ABBVIE,MASSACHUSETTS MUTUAL LIFE INSURANCE,0.136452,0.272905,0,0,1,1,0
MASSACHUSETTS MUTUAL LIFE INSURANCE,ABBVIE,0.136452,0.272905,0,0,1,1,0
ABBVIE,MCKESSON,0.004747,0.004747,1,0,0,1,1
MCKESSON,ABBVIE,0.0,0.004747,0,1,0,1,-1
ABBVIE,MERCK,0.228323,0.256863,7,0,2,9,7
MERCK,ABBVIE,0.02854,0.256863,0,7,2,9,-7
ABBVIE,METLIFE,0.061452,0.122905,0,0,1,1,0
METLIFE,ABBVIE,0.061452,0.122905,0,0,1,1,0
ABBVIE,MICRON TECHNOLOGY,0.000648,0.001295,0,0,1,1,0
MICRON TECHNOLOGY,ABBVIE,0.000648,0.001295,0,0,1,1,0
ABBVIE,MICROSOFT,0.010411,0.020823,0,0,1,1,0
MICROSOFT,ABBVIE,0.010411,0.020823,0,0,1,1,0
ABBVIE,MOLINA HEALTHCARE,0.027639,0.055279,0,0,1,1,0
MOLINA HEALTHCARE,ABBVIE,0.027639,0.055279,0,0,1,1,0
ABBVIE,MUTUAL OF OMAHA INSURANCE,0.056776,0.064887,3,0,1,4,3
MUTUAL OF OMAHA INSURANCE,ABBVIE,0.008111,0.064887,0,3,1,4,-3
ABBVIE,NATIONWIDE,0.167287,0.334573,0,0,1,1,0
NATIONWIDE,ABBVIE,0.167287,0.334573,0,0,1,1,0
ABBVIE,NAVISTAR INTERNATIONAL,0.028526,0.028526,1,0,0,1,1
NAVISTAR INTERNATIONAL,ABBVIE,0.0,0.028526,0,1,0,1,-1
ABBVIE,NEXTERA ENERGY,0.136452,0.272905,0,0,1,1,0
NEXTERA ENERGY,ABBVIE,0.136452,0.272905,0,0,1,1,0
ABBVIE,NORTHROP GRUMMAN,0.002795,0.00559,0,0,1,1,0
NORTHROP GRUMMAN,ABBVIE,0.002795,0.00559,0,0,1,1,0
ABBVIE,ORACLE,0.007165,0.01433,0,0,2,2,0
ORACLE,ABBVIE,0.007165,0.01433,0,0,2,2,0
ABBVIE,OWENS-ILLINOIS,0.075,0.15,0,0,1,1,0
OWENS-ILLINOIS,ABBVIE,0.075,0.15,0,0,1,1,0
ABBVIE,PEPSICO,0.001026,0.001026,1,0,0,1,1
PEPSICO,ABBVIE,0.0,0.001026,0,1,0,1,-1
ABBVIE,PPG INDUSTRIES,0.042522,0.085045,0,0,2,2,0
PPG INDUSTRIES,ABBVIE,0.042522,0.085045,0,0,2,2,0
ABBVIE,PRUDENTIAL FINANCIAL,0.166636,0.333272,0,0,1,1,0
PRUDENTIAL FINANCIAL,ABBVIE,0.166636,0.333272,0,0,1,1,0
ABBVIE,RAYTHEON,0.008141,0.016281,0,0,1,1,0
RAYTHEON,ABBVIE,0.008141,0.016281,0,0,1,1,0
ABBVIE,REGENERON PHARMACEUTICALS,0.06375,0.06375,2,0,0,2,2
REGENERON PHARMACEUTICALS,ABBVIE,0.0,0.06375,0,2,0,2,-2
ABBVIE,RITE AID,0.123565,0.247131,0,0,3,3,0
RITE AID,ABBVIE,0.123565,0.247131,0,0,3,3,0
ABBVIE,S&P GLOBAL,0.028932,0.057864,0,0,1,1,0
S&P GLOBAL,ABBVIE,0.028932,0.057864,0,0,1,1,0
ABBVIE,THERMO FISHER SCIENTIFIC,0.003797,0.007594,0,0,2,2,0
THERMO FISHER SCIENTIFIC,ABBVIE,0.003797,0.007594,0,0,2,2,0
ABBVIE,UNION PACIFIC,0.003195,0.006389,0,0,1,1,0
UNION PACIFIC,ABBVIE,0.003195,0.006389,0,0,1,1,0
ABBVIE,W.R. BERKLEY,0.144282,0.288565,0,0,1,1,0
W.R. BERKLEY,ABBVIE,0.144282,0.288565,0,0,1,1,0
ABBVIE,WALGREENS BOOTS ALLIANCE,0.014093,0.014093,2,0,0,2,2
