uniq_id,fortune_name,issue_code,amount,amount_allocated,year,congress
9b5effcd-984a-4f9d-b28d-ea623b41275d,EXXONMOBIL,NAT,1600000.0,160000.0,2021,117
9b5effcd-984a-4f9d-b28d-ea623b41275d,EXXONMOBIL,TAX,1600000.0,160000.0,2021,117
9b5effcd-984a-4f9d-b28d-ea623b41275d,EXXONMOBIL,TRA,1600000.0,160000.0,2021,117
9b5effcd-984a-4f9d-b28d-ea623b41275d,EXXONMOBIL,TRD,1600000.0,160000.0,2021,117
9b5effcd-984a-4f9d-b28d-ea623b41275d,EXXONMOBIL,ENV,1600000.0,160000.0,2021,117
9b5effcd-984a-4f9d-b28d-ea623b41275d,EXXONMOBIL,FOR,1600000.0,160000.0,2021,117
9cd1a3d1-c736-41ec-b596-e0e2a9b2264f,ORACLE,CPT,60000.0,15000.0,2021,117
9cd1a3d1-c736-41ec-b596-e0e2a9b2264f,ORACLE,CPI,60000.0,15000.0,2021,117
9cd1a3d1-c736-41ec-b596-e0e2a9b2264f,ORACLE,DEF,60000.0,15000.0,2021,117
9cd1a3d1-c736-41ec-b596-e0e2a9b2264f,ORACLE,GOV,60000.0,15000.0,2021,117
9d1357d1-4bd6-4ffd-ac03-dbfd78dbe01c,BLACKSTONE GROUP,HCR,210000.0,210000.0,2021,117
9db8cfa1-83e9-4260-ab53-558527f78107,ARROW ELECTRONICS,DEF,20000.0,10000.0,2021,117
9db8cfa1-83e9-4260-ab53-558527f78107,ARROW ELECTRONICS,GOV,20000.0,10000.0,2021,117
9e37a219-bf86-4f76-8798-3a88079b0160,STATE FARM INSURANCE,POS,820000.0,102500.0,2021,117
9e37a219-bf86-4f76-8798-3a88079b0160,STATE FARM INSURANCE,TAX,820000.0,102500.0,2021,117
9e37a219-bf86-4f76-8798-3a88079b0160,STATE FARM INSURANCE,FIN,820000.0,102500.0,2021,117
9e37a219-bf86-4f76-8798-3a88079b0160,STATE FARM INSURANCE,MMM,820000.0,102500.0,2021,117
9e37a219-bf86-4f76-8798-3a88079b0160,STATE FARM INSURANCE,TRA,820000.0,102500.0,2021,117
9e37a219-bf86-4f76-8798-3a88079b0160,STATE FARM INSURANCE,LBR,820000.0,102500.0,2021,117
9e37a219-bf86-4f76-8798-3a88079b0160,STATE FARM INSURANCE,INS,820000.0,102500.0,2021,117
9e37a219-bf86-4f76-8798-3a88079b0160,STATE FARM INSURANCE,BAN,820000.0,102500.0,2021,117
9ec91767-9f5f-482b-89df-64d09a515f22,ILLINOIS TOOL WORKS,GOV,70000.0,23333.333333333332,2021,117
9ec91767-9f5f-482b-89df-64d09a515f22,ILLINOIS TOOL WORKS,TRD,70000.0,23333.333333333332,2021,117
9ec91767-9f5f-482b-89df-64d09a515f22,ILLINOIS TOOL WORKS,ENV,70000.0,23333.333333333332,2021,117
9f99b9ac-77bb-4ec8-81f6-d0879cfe7021,PHILLIPS 66,HOM,1010000.0,168333.33333333334,2021,117
9f99b9ac-77bb-4ec8-81f6-d0879cfe7021,PHILLIPS 66,FUE,1010000.0,168333.33333333334,2021,117
9f99b9ac-77bb-4ec8-81f6-d0879cfe7021,PHILLIPS 66,TAX,1010000.0,168333.33333333334,2021,117
9f99b9ac-77bb-4ec8-81f6-d0879cfe7021,PHILLIPS 66,FIN,1010000.0,168333.33333333334,2021,117
9f99b9ac-77bb-4ec8-81f6-d0879cfe7021,PHILLIPS 66,TRA,1010000.0,168333.33333333334,2021,117
9f99b9ac-77bb-4ec8-81f6-d0879cfe7021,PHILLIPS 66,ENV,1010000.0,168333.33333333334,2021,117
a02c362c-f315-4828-8973-d35d9cf27b05,WALT DISNEY,TOU,1310000.0,163750.0,2021,117
a02c362c-f315-4828-8973-d35d9cf27b05,WALT DISNEY,CPT,1310000.0,163750.0,2021,117
a02c362c-f315-4828-8973-d35d9cf27b05,WALT DISNEY,COM,1310000.0,163750.0,2021,117
a02c362c-f315-4828-8973-d35d9cf27b05,WALT DISNEY,IMM,1310000.0,163750.0,2021,117
a02c362c-f315-4828-8973-d35d9cf27b05,WALT DISNEY,TAX,1310000.0,163750.0,2021,117
a02c362c-f315-4828-8973-d35d9cf27b05,WALT DISNEY,TRA,1310000.0,163750.0,2021,117
a02c362c-f315-4828-8973-d35d9cf27b05,WALT DISNEY,TRD,1310000.0,163750.0,2021,117
a02c362c-f315-4828-8973-d35d9cf27b05,WALT DISNEY,INS,1310000.0,163750.0,2021,117
a134d4b2-c69d-4676-bffa-e1fa2c65709d,BANK OF NEW YORK MELLON,RET,700000.0,233333.33333333334,2021,117
a134d4b2-c69d-4676-bffa-e1fa2c65709d,BANK OF NEW YORK MELLON,TAX,700000.0,233333.33333333334,2021,117
a134d4b2-c69d-4676-bffa-e1fa2c65709d,BANK OF NEW YORK MELLON,BAN,700000.0,233333.33333333334,2021,117
a1baff7e-0e14-49e2-a80c-37cb276689d1,KEURIG DR PEPPER,HCR,160000.0,53333.333333333336,2021,117
a1baff7e-0e14-49e2-a80c-37cb276689d1,KEURIG DR PEPPER,BEV,160000.0,53333.333333333336,2021,117
a1baff7e-0e14-49e2-a80c-37cb276689d1,KEURIG DR PEPPER,ENV,160000.0,53333.333333333336,2021,117
a365c8eb-8c0e-4f27-903c-7f582c0abdf9,FISERV,EDU,220000.0,55000.0,2021,117
a365c8eb-8c0e-4f27-903c-7f582c0abdf9,FISERV,CPT,220000.0,55000.0,2021,117
a365c8eb-8c0e-4f27-903c-7f582c0abdf9,FISERV,SMB,220000.0,55000.0,2021,117
a365c8eb-8c0e-4f27-903c-7f582c0abdf9,FISERV,BAN,220000.0,55000.0,2021,117
a4bc6e44-96bd-45b2-92cf-90c4c4fa086a,S&P GLOBAL,TRD,280000.0,70000.0,2021,117
a4bc6e44-96bd-45b2-92cf-90c4c4fa086a,S&P GLOBAL,CDT,280000.0,70000.0,2021,117
a4bc6e44-96bd-45b2-92cf-90c4c4fa086a,S&P GLOBAL,TRA,280000.0,70000.0,2021,117
a4bc6e44-96bd-45b2-92cf-90c4c4fa086a,S&P GLOBAL,FIN,280000.0,70000.0,2021,117
a5606ca4-6d06-4587-bc7c-4c621b5e5113,WASTE MANAGEMENT,WAS,30000.0,15000.0,2021,117
a5606ca4-6d06-4587-bc7c-4c621b5e5113,WASTE MANAGEMENT,ENG,30000.0,15000.0,2021,117
a583c1c3-d2f7-4942-8019-1aa9c23aebaa,MORGAN STANLEY,TRD,540000.0,135000.0,2021,117
a583c1c3-d2f7-4942-8019-1aa9c23aebaa,MORGAN STANLEY,FIN,540000.0,135000.0,2021,117
a583c1c3-d2f7-4942-8019-1aa9c23aebaa,MORGAN STANLEY,TAX,540000.0,135000.0,2021,117
a583c1c3-d2f7-4942-8019-1aa9c23aebaa,MORGAN STANLEY,BAN,540000.0,135000.0,2021,117
a659262d-703a-45b6-9966-579f1876a8d5,TEXAS INSTRUMENTS,EDU,480000.0,53333.333333333336,2021,117
a659262d-703a-45b6-9966-579f1876a8d5,TEXAS INSTRUMENTS,IMM,480000.0,53333.333333333336,2021,117
a659262d-703a-45b6-9966-579f1876a8d5,TEXAS INSTRUMENTS,AUT,480000.0,53333.333333333336,2021,117
a659262d-703a-45b6-9966-579f1876a8d5,TEXAS INSTRUMENTS,TAX,480000.0,53333.333333333336,2021,117
a659262d-703a-45b6-9966-579f1876a8d5,TEXAS INSTRUMENTS,TRA,480000.0,53333.333333333336,2021,117
a659262d-703a-45b6-9966-579f1876a8d5,TEXAS INSTRUMENTS,TRD,480000.0,53333.333333333336,2021,117
a659262d-703a-45b6-9966-579f1876a8d5,TEXAS INSTRUMENTS,BUD,480000.0,53333.333333333336,2021,117
a659262d-703a-45b6-9966-579f1876a8d5,TEXAS INSTRUMENTS,ECN,480000.0,53333.333333333336,2021,117
a659262d-703a-45b6-9966-579f1876a8d5,TEXAS INSTRUMENTS,CSP,480000.0,53333.333333333336,2021,117
a7260258-b3f9-45cc-833b-c9480d7e39ad,GOODYEAR TIRE & RUBBER,MAN,740000.0,105714.28571428571,2021,117
a7260258-b3f9-45cc-833b-c9480d7e39ad,GOODYEAR TIRE & RUBBER,DEF,740000.0,105714.28571428571,2021,117
a7260258-b3f9-45cc-833b-c9480d7e39ad,GOODYEAR TIRE & RUBBER,IMM,740000.0,105714.28571428571,2021,117
a7260258-b3f9-45cc-833b-c9480d7e39ad,GOODYEAR TIRE & RUBBER,TAX,740000.0,105714.28571428571,2021,117
a7260258-b3f9-45cc-833b-c9480d7e39ad,GOODYEAR TIRE & RUBBER,TRD,740000.0,105714.28571428571,2021,117
a7260258-b3f9-45cc-833b-c9480d7e39ad,GOODYEAR TIRE & RUBBER,LBR,740000.0,105714.28571428571,2021,117
a7260258-b3f9-45cc-833b-c9480d7e39ad,GOODYEAR TIRE & RUBBER,TAR,740000.0,105714.28571428571,2021,117
a7264247-3853-4325-a57f-68a0d8731d4f,ORACLE,TEC,50000.0,50000.0,2021,117
a87a3a40-7aa3-4b09-a90a-1ae233f3f69f,AMAZON,GOV,4800000.0,208695.65217391305,2021,117
a87a3a40-7aa3-4b09-a90a-1ae233f3f69f,AMAZON,CAW,4800000.0,208695.65217391305,2021,117
a87a3a40-7aa3-4b09-a90a-1ae233f3f69f,AMAZON,FIN,4800000.0,208695.65217391305,2021,117
a87a3a40-7aa3-4b09-a90a-1ae233f3f69f,AMAZON,BUD,4800000.0,208695.65217391305,2021,117
a87a3a40-7aa3-4b09-a90a-1ae233f3f69f,AMAZON,CPI,4800000.0,208695.65217391305,2021,117
