firm,community,within_comm_eigenvector,z_score,participation_coeff,global_pagerank,katz_centrality,ga_role
FIRSTENERGY,0,0.238149,1.6986,0.1712,0.005768,0.054597,peripheral
CISCO SYSTEMS,1,0.237193,1.1862,0.2925,0.00437,0.055478,peripheral
INTEL,1,0.236484,1.1472,0.3801,0.004554,0.056102,peripheral
REGIONS FINANCIAL,2,0.234512,0.6259,0.1756,0.003763,0.06729,peripheral
ENTERGY,0,0.234493,2.22,0.4093,0.007811,0.072789,peripheral
EXELON,0,0.228984,1.8379,0.2399,0.006271,0.058835,peripheral
FACEBOOK,1,0.228549,1.6683,0.5752,0.007566,0.115667,peripheral
METLIFE,4,0.227563,0.6238,0.2746,0.005569,0.150747,peripheral
MOLINA HEALTHCARE,3,0.226762,0.4708,0.3959,0.003396,0.034543,peripheral
AMERICAN ELECTRIC POWER,0,0.223884,1.2624,0.1962,0.005086,0.050425,peripheral
CUMMINS,1,0.222203,1.4536,0.6073,0.009075,0.083529,peripheral
KEYCORP,2,0.222148,1.2001,0.222,0.005022,0.075029,peripheral
HEWLETT PACKARD ENTERPRISE,1,0.220505,1.5184,0.4838,0.00586,0.063335,peripheral
EVERSOURCE ENERGY,0,0.219805,1.8447,0.2161,0.006262,0.055285,peripheral
MICRON TECHNOLOGY,1,0.216415,1.1857,0.5573,0.007298,0.076304,peripheral
PG&E,0,0.214326,1.9609,0.2513,0.006636,0.057993,peripheral
W.R. BERKLEY,4,0.213659,0.4796,0.3158,0.005474,0.143288,peripheral
REGENERON PHARMACEUTICALS,3,0.207188,0.6528,0.4029,0.003616,0.042868,peripheral
IBM,1,0.202592,1.539,0.7014,0.008874,0.110441,non_hub_connector
GILEAD SCIENCES,3,0.198403,0.4789,0.609,0.004416,0.046594,peripheral
MASSACHUSETTS MUTUAL LIFE INSURANCE,4,0.197901,0.3366,0.4373,0.005782,0.139915,peripheral
GOLDMAN SACHS GROUP,4,0.196621,0.3036,0.5548,0.007537,0.171382,peripheral
MERCK,3,0.194539,0.4558,0.403,0.003353,0.037831,peripheral
ALPHABET,1,0.191288,1.293,0.0837,0.004446,0.046925,peripheral
WALMART,3,0.180719,0.3994,0.4698,0.004068,0.03573,peripheral
APPLE,1,0.179452,1.0568,0.09,0.004304,0.04353,peripheral
CENTERPOINT ENERGY,0,0.167895,1.4208,0.1713,0.005468,0.047412,peripheral
PUBLIC SERVICE ENTERPRISE GROUP,0,0.16653,0.91,0.2011,0.004587,0.046179,peripheral
CITIGROUP,4,0.162693,-0.0084,0.6244,0.007264,0.136417,peripheral
AMGEN,3,0.161975,0.0528,0.5805,0.003609,0.050671,peripheral
GENWORTH FINANCIAL,4,0.159763,-0.05,0.5357,0.005406,0.119168,peripheral
SOUTHERN,0,0.15714,0.315,0.072,0.003179,0.038151,peripheral
AMAZON,1,0.155929,1.2098,0.5956,0.006683,0.060732,peripheral
MUTUAL OF OMAHA INSURANCE,3,0.154679,-0.1606,0.7231,0.005607,0.051346,non_hub_connector
CONSOLIDATED EDISON,0,0.150791,1.2753,0.1828,0.005083,0.048373,peripheral
DOMINION ENERGY,0,0.143965,0.2773,0.0099,0.003096,0.035527,ultra_peripheral
ABBVIE,4,0.141119,-0.2033,0.6551,0.007453,0.123453,non_hub_connector
NORTHWESTERN MUTUAL,2,0.141009,0.7651,0.4681,0.005667,0.067423,peripheral
BRISTOL-MYERS SQUIBB,3,0.140299,-0.2565,0.3452,0.002436,0.030099,peripheral
DELL TECHNOLOGIES,1,0.138799,0.9469,0.6564,0.006675,0.101307,non_hub_connector
DISCOVER FINANCIAL SERVICES,2,0.137931,-0.2738,0.2183,0.002533,0.046468,peripheral
GENERAL MILLS,1,0.132234,0.7609,0.2428,0.00356,0.042537,peripheral
CATERPILLAR,4,0.130294,-0.3333,0.7003,0.006729,0.116089,non_hub_connector
NAVISTAR INTERNATIONAL,3,0.12731,-0.4603,0.549,0.003001,0.030544,peripheral
RITE AID,4,0.12496,-0.3656,0.6303,0.006438,0.106293,non_hub_connector
ENERGY TRANSFER,0,0.124471,0.8257,0.1096,0.004184,0.041115,peripheral
INTUIT,1,0.123229,-0.0586,0.4267,0.002996,0.037457,peripheral
TESLA,0,0.122378,0.347,0.4174,0.004127,0.043632,peripheral
CHS,4,0.115732,-0.4705,0.6274,0.005038,0.095959,non_hub_connector
GENERAL ELECTRIC,4,0.11452,-0.4628,0.6946,0.006396,0.100954,non_hub_connector
LABORATORY CORP. OF AMERICA,3,0.113522,0.3644,0.4408,0.003789,0.031591,peripheral
WESTERN UNION,4,0.113131,-0.5169,0.5364,0.004112,0.093239,peripheral
GENERAL MOTORS,1,0.110896,0.3852,0.6063,0.004493,0.048331,peripheral
FLUOR,0,0.10999,0.9368,0.3046,0.004777,0.051142,peripheral
AIG,2,0.108253,0.3767,0.2475,0.004213,0.052979,peripheral
PPG INDUSTRIES,4,0.106647,-0.5756,0.6253,0.005781,0.095366,non_hub_connector
WELLS FARGO,2,0.106634,0.696,0.2702,0.004624,0.058448,peripheral
NATIONWIDE,4,0.106068,-0.5868,0.6523,0.005786,0.09619,non_hub_connector
STANLEY BLACK & DECKER,1,0.105576,0.3982,0.4705,0.003663,0.040808,peripheral
MARATHON PETROLEUM,0,0.105115,0.3237,0.2473,0.003731,0.037765,peripheral
CARDINAL HEALTH,1,0.103084,0.4366,0.5524,0.004145,0.043282,peripheral
AES,0,0.098655,0.3487,0.1891,0.003664,0.03681,peripheral
NORTHROP GRUMMAN,0,0.098542,1.4354,0.3146,0.005857,0.05837,peripheral
LEIDOS HOLDINGS,0,0.097309,1.0745,0.3598,0.005371,0.055749,peripheral
ONEOK,0,0.095959,0.254,0.0175,0.003186,0.032965,ultra_peripheral
AMERISOURCEBERGEN,3,0.094114,-0.7517,0.287,0.001843,0.025472,peripheral
HUNTSMAN,0,0.092658,0.6286,0.5733,0.005544,0.081942,peripheral
AMEREN,0,0.092477,0.316,0.3378,0.004165,0.039412,peripheral
GENERAL DYNAMICS,0,0.09095,1.129,0.46,0.00624,0.055446,peripheral
EXXONMOBIL,0,0.087995,0.5293,0.5415,0.005975,0.063773,peripheral
HONEYWELL INTERNATIONAL,4,0.084302,-0.8053,0.6874,0.005217,0.082239,non_hub_connector
PHILLIPS 66,0,0.084218,0.2576,0.4618,0.004418,0.04309,peripheral
TRAVELERS,2,0.08345,0.4179,0.1097,0.003774,0.047145,peripheral
AIR PRODUCTS & CHEMICALS,0,0.08328,0.607,0.3741,0.004444,0.049048,peripheral
CAPITAL ONE FINANCIAL,1,0.081447,0.0285,0.6229,0.003518,0.045322,peripheral
UNION PACIFIC,0,0.08117,0.827,0.4217,0.005328,0.050678,peripheral
S&P GLOBAL,4,0.078378,-0.7381,0.3989,0.003171,0.064533,peripheral
JOHNSON & JOHNSON,3,0.075988,-0.4762,0.6119,0.003403,0.031421,peripheral
LOEWS,0,0.075204,-0.0923,0.049,0.003322,0.028852,ultra_peripheral
VERIZON,1,0.074859,0.6507,0.3996,0.004294,0.039528,peripheral
