source,target,weight
AIG,BRIGHTHOUSE FINANCIAL,0.125546
AIG,CAPITAL ONE FINANCIAL,0.002431
AIG,CBS,0.011093
AIG,CHARLES SCHWAB,0.117577
AIG,CITIGROUP,0.017092
AIG,CITIZENS FINANCIAL GROUP,0.029662
AIG,COCA-COLA,0.005385
AIG,DISCOVER FINANCIAL SERVICES,0.072406
AIG,ENTERGY,0.006574
AIG,EXXONMOBIL,0.007206
AIG,FIFTH THIRD BANCORP,0.147472
AIG,FORD,0.162101
AIG,FOX CORP,0.007265
AIG,GOLDMAN SACHS GROUP,0.110602
AIG,HARTFORD FINANCIAL SERVICES,0.103813
AIG,HILTON WORLDWIDE HOLDINGS,0.008262
AIG,INTERNATIONAL PAPER,0.043398
AIG,JPMORGAN CHASE & CO.,0.127155
AIG,KEYCORP,0.090504
AIG,LIBERTY MUTUAL INSURANCE GROUP,0.037749
AIG,LINCOLN NATIONAL,0.111792
AIG,LOEWS,0.001815
AIG,MARRIOTT INTERNATIONAL,0.006947
AIG,MARSH & MCLENNAN,0.102304
AIG,MASSACHUSETTS MUTUAL LIFE INSURANCE,0.110368
AIG,MUTUAL OF OMAHA INSURANCE,0.147092
AIG,NATIONWIDE,0.116171
AIG,NEW YORK LIFE INSURANCE,0.38468
AIG,NEXTERA ENERGY,0.130463
AIG,NORTHERN TRUST,0.530477
AIG,NORTHWESTERN MUTUAL,0.16398
AIG,PNC FINANCIAL SERVICES,0.141823
AIG,PRINCIPAL FINANCIAL,0.09316
AIG,PRUDENTIAL FINANCIAL,0.132153
AIG,RAYTHEON,0.014266
AIG,REGIONS FINANCIAL,0.128627
AIG,STATE FARM INSURANCE,0.05433
AIG,STATE STREET CORP.,0.191568
AIG,SYNCHRONY FINANCIAL,0.139619
AIG,TIAA,0.289746
AIG,U.S. BANCORP,0.134174
AIG,UNITED TECHNOLOGIES,0.021154
AIG,USAA,0.207925
AIG,VISA,0.191568
AIG,W.R. BERKLEY,0.014771
AIG,XEROX,0.191568
AIR PRODUCTS & CHEMICALS,ALASKA AIR GROUP,0.018807
AIR PRODUCTS & CHEMICALS,AMAZON,0.032423
AIR PRODUCTS & CHEMICALS,AMEREN,0.057968
AIR PRODUCTS & CHEMICALS,AMERICAN AIRLINES GROUP,0.017303
AIR PRODUCTS & CHEMICALS,BALL,0.089474
AIR PRODUCTS & CHEMICALS,BERKSHIRE HATHAWAY,0.002536
AIR PRODUCTS & CHEMICALS,BOEING,0.018252
AIR PRODUCTS & CHEMICALS,BRISTOL-MYERS SQUIBB,0.009356
AIR PRODUCTS & CHEMICALS,CENTENE,0.022984
AIR PRODUCTS & CHEMICALS,CHEVRON,0.011799
AIR PRODUCTS & CHEMICALS,CMS ENERGY,0.017038
AIR PRODUCTS & CHEMICALS,COGNIZANT TECHNOLOGY SOLUTIONS,0.029971
AIR PRODUCTS & CHEMICALS,CONSOLIDATED EDISON,0.064205
AIR PRODUCTS & CHEMICALS,CORNING,0.077842
AIR PRODUCTS & CHEMICALS,CUMMINS,0.101113
AIR PRODUCTS & CHEMICALS,DAVITA,0.036345
AIR PRODUCTS & CHEMICALS,DELTA AIR LINES,0.16329
AIR PRODUCTS & CHEMICALS,DTE ENERGY,0.009658
AIR PRODUCTS & CHEMICALS,DUKE ENERGY,0.132351
AIR PRODUCTS & CHEMICALS,ENERGY TRANSFER,0.275869
AIR PRODUCTS & CHEMICALS,ENTERGY,0.124045
AIR PRODUCTS & CHEMICALS,EVERSOURCE ENERGY,0.015093
AIR PRODUCTS & CHEMICALS,EXELON,0.084463
AIR PRODUCTS & CHEMICALS,EXXONMOBIL,0.018876
AIR PRODUCTS & CHEMICALS,FACEBOOK,0.024585
AIR PRODUCTS & CHEMICALS,FIRSTENERGY,0.009509
AIR PRODUCTS & CHEMICALS,FLUOR,0.674875
AIR PRODUCTS & CHEMICALS,GENERAL DYNAMICS,0.067954
AIR PRODUCTS & CHEMICALS,GENERAL ELECTRIC,0.171919
AIR PRODUCTS & CHEMICALS,GENERAL MOTORS,0.024515
AIR PRODUCTS & CHEMICALS,GILEAD SCIENCES,0.014879
AIR PRODUCTS & CHEMICALS,GRAPHIC PACKAGING HOLDING,0.309007
AIR PRODUCTS & CHEMICALS,HEWLETT PACKARD ENTERPRISE,0.082856
AIR PRODUCTS & CHEMICALS,HOLLYFRONTIER,0.041882
AIR PRODUCTS & CHEMICALS,HUNTSMAN,0.218068
AIR PRODUCTS & CHEMICALS,IBM,0.031286
AIR PRODUCTS & CHEMICALS,JACOBS ENGINEERING GROUP,0.019586
AIR PRODUCTS & CHEMICALS,JETBLUE AIRWAYS,0.059883
AIR PRODUCTS & CHEMICALS,LEIDOS HOLDINGS,0.249082
AIR PRODUCTS & CHEMICALS,LOCKHEED MARTIN,0.070736
AIR PRODUCTS & CHEMICALS,MAGELLAN HEALTH,0.01054
AIR PRODUCTS & CHEMICALS,MICRON TECHNOLOGY,0.531312
AIR PRODUCTS & CHEMICALS,MICROSOFT,0.011145
AIR PRODUCTS & CHEMICALS,NORTHROP GRUMMAN,0.434997
