source,target,weight,affil_norm,shared_n,cosine_weight,rbo_weight
ABBVIE,GENWORTH FINANCIAL,0.008393760961955814,0.0004528985507246,1,0.179332,0.1033469999999999
ABBVIE,GILEAD SCIENCES,0.1757146137264487,0.0040760869565217,9,0.313993,0.1372917609656558
ABBVIE,GOLDMAN SACHS GROUP,0.01752195471014346,0.0004528985507246,1,0.224933,0.1719999999999999
ABBVIE,GRAPHIC PACKAGING HOLDING,0.00010351854558616805,0.0004528985507246,1,0.049393,0.0046275575213953
ABBVIE,HARTFORD FINANCIAL SERVICES,0.007862043004926815,0.0004528985507246,1,0.068026,0.2551875893758247
ABBVIE,HCA HEALTHCARE,0.006154857085281911,0.0004528985507246,1,0.125418,0.1083570495806311
ABBVIE,HONEYWELL INTERNATIONAL,0.0014120769580798387,0.0004528985507246,1,0.090617,0.0344070750901105
ABBVIE,HUMANA,0.06439016460993799,0.0031702898550724,7,0.208844,0.0972520045438878
ABBVIE,HUNTSMAN,0.026597392279795906,0.0009057971014492,2,0.231648,0.1267592255357142
ABBVIE,IBM,0.005356571604754145,0.0013586956521739,3,0.12787,0.0308316000711589
ABBVIE,INTERNATIONAL PAPER,0.0002566197195714919,0.0004528985507246,1,0.046613,0.0121557578532577
ABBVIE,JOHNSON & JOHNSON,0.03381329621576566,0.0036231884057971,8,0.188254,0.0495738191780856
ABBVIE,LABORATORY CORP. OF AMERICA,0.0006563582818163769,0.0004528985507246,1,0.043689,0.033171715677875
ABBVIE,LEIDOS HOLDINGS,0.0006862041216151646,0.0004528985507246,1,0.128252,0.0118137627524437
ABBVIE,LOCKHEED MARTIN,6.252187433410098e-05,0.0004528985507246,1,0.022645,0.0060961933552531
ABBVIE,MAGELLAN HEALTH,0.08278611707896659,0.0022644927536231,5,0.273439,0.1336983725879376
ABBVIE,MASSACHUSETTS MUTUAL LIFE INSURANCE,0.019337646308875193,0.0004528985507246,1,0.224458,0.1902249999999999
ABBVIE,MCKESSON,2.014735630340575e-05,0.0004528985507246,1,0.005984,0.0074340512563375
ABBVIE,MERCK,0.3876283552669994,0.0040760869565217,9,0.374796,0.2537331147935715
ABBVIE,METLIFE,0.010788262092390396,0.0004528985507246,1,0.264012,0.0902249999999999
ABBVIE,MICRON TECHNOLOGY,6.340521166238779e-05,0.0004528985507246,1,0.077108,0.0018156184488064
ABBVIE,MICROSOFT,0.0008973603598568915,0.0004528985507246,1,0.069697,0.0284283638401105
ABBVIE,MOLINA HEALTHCARE,0.0016568328284934934,0.0004528985507246,1,0.068831,0.053148826623381
ABBVIE,MUTUAL OF OMAHA INSURANCE,0.01795292231428193,0.0018115942028985,4,0.134298,0.0737912189122988
ABBVIE,NATIONWIDE,0.013108413218751646,0.0004528985507246,1,0.11342,0.2551875893758247
ABBVIE,NAVISTAR INTERNATIONAL,0.0008338286352987882,0.0004528985507246,1,0.060993,0.030185326623381
ABBVIE,NEXTERA ENERGY,0.03180462062952632,0.0004528985507246,1,0.369166,0.1902249999999999
ABBVIE,NORTHROP GRUMMAN,0.0002506118396070621,0.0004528985507246,1,0.06024,0.0091857726071122
ABBVIE,ORACLE,0.0027612048325034756,0.0009057971014492,2,0.123997,0.0245842249012806
ABBVIE,OWENS-ILLINOIS,0.017644746376810107,0.0004528985507246,1,0.389596,0.0999999999999999
