source,target,weight,source_firsts,target_firsts,tie_count,shared_bills,net_temporal,balanced
ABBOTT LABORATORIES,WINDSTREAM HOLDINGS,0.032259,0,0,2,2,0,1
ABBOTT LABORATORIES,YUM BRANDS,0.010215,0,0,1,1,0,1
ABBOTT LABORATORIES,ZIMMER BIOMET HOLDINGS,0.085908,0,0,1,1,0,1
ABBVIE,AFLAC,0.184474,0,0,1,1,0,1
ABBVIE,AMERICAN AIRLINES GROUP,0.008031,0,0,1,1,0,1
ABBVIE,AMERICAN ELECTRIC POWER,0.001024,0,0,1,1,0,1
AMERICAN EXPRESS,ABBVIE,0.000468,1,0,0,1,1,0
AMERISOURCEBERGEN,ABBVIE,0.007713,1,0,1,2,1,0
ABBVIE,AMGEN,0.00131,2,2,1,5,0,1
ABBVIE,ANADARKO PETROLEUM,0.032323,0,0,1,1,0,1
ABBVIE,APPLE,0.183549,0,0,1,1,0,1
ABBVIE,AT&T,0.003247,0,0,1,1,0,1
ABBVIE,BALL,0.000247,1,0,0,1,1,0
ABBVIE,BAXTER INTERNATIONAL,0.014854,1,1,1,3,0,1
ABBVIE,BECTON DICKINSON,0.010552,1,0,0,1,1,0
ABBVIE,BLACKSTONE GROUP,0.001026,0,0,1,1,0,1
ABBVIE,BOEING,0.085414,0,0,3,3,0,1
ABBVIE,BOSTON SCIENTIFIC,0.004904,1,1,0,2,0,1
ABBVIE,BRISTOL-MYERS SQUIBB,0.203504,1,0,5,6,1,0
CARDINAL HEALTH,ABBVIE,0.097583,3,0,1,4,3,0
ABBVIE,CENTERPOINT ENERGY,0.000347,0,0,1,1,0,1
ABBVIE,CHARLES SCHWAB,0.000843,0,0,1,1,0,1
ABBVIE,CHESAPEAKE ENERGY,0.000954,1,0,0,1,1,0
CSX,ABBVIE,0.002766,1,0,0,1,1,0
ABBVIE,CUMMINS,0.001085,0,0,2,2,0,1
ABBVIE,CVS HEALTH,0.018593,1,1,0,2,0,1
ABBVIE,DEERE,0.00027,1,0,0,1,1,0
DELTA AIR LINES,ABBVIE,0.013424,1,0,1,2,1,0
ABBVIE,DTE ENERGY,0.004066,0,0,1,1,0,1
EDISON INTERNATIONAL,ABBVIE,0.0001,1,0,0,1,1,0
ELI LILLY,ABBVIE,0.018538,1,0,1,2,1,0
ABBVIE,EXELON,0.046008,0,0,1,1,0,1
ABBVIE,FACEBOOK,0.000517,1,0,0,1,1,0
ABBVIE,FEDEX,0.005875,0,0,2,2,0,1
ABBVIE,FIRSTENERGY,0.012807,0,0,1,1,0,1
ABBVIE,FLUOR,0.002502,0,0,1,1,0,1
ABBVIE,HCA HEALTHCARE,0.015257,0,0,1,1,0,1
ABBVIE,HOLLYFRONTIER,0.001291,0,0,1,1,0,1
ABBVIE,HUMANA,0.001123,1,0,1,2,1,0
ABBVIE,IBM,0.000513,0,0,2,2,0,1
INTEL,ABBVIE,0.005094,1,0,0,1,1,0
ABBVIE,JOHNSON & JOHNSON,0.005094,0,0,1,1,0,1
ABBVIE,LIBERTY MUTUAL INSURANCE GROUP,0.00306,1,1,0,2,0,1
ABBVIE,LOCKHEED MARTIN,0.0001,0,0,1,1,0,1
ABBVIE,MARATHON OIL,0.061668,0,0,1,1,0,1
ABBVIE,MARRIOTT INTERNATIONAL,8.1e-05,0,0,1,1,0,1
ABBVIE,MERCK,0.025579,2,1,4,7,1,0
ABBVIE,MICROSOFT,0.000617,0,0,1,1,0,1
ABBVIE,MUTUAL OF OMAHA INSURANCE,0.034916,0,0,1,1,0,1
ABBVIE,NATIONAL OILWELL VARCO,0.03869,0,0,1,1,0,1
ABBVIE,NATIONWIDE,0.004066,1,0,0,1,1,0
NAVIENT,ABBVIE,0.078309,1,0,1,2,1,0
ABBVIE,NCR,0.093989,0,0,1,1,0,1
ABBVIE,NEXTERA ENERGY,0.000247,0,0,1,1,0,1
ABBVIE,NORFOLK SOUTHERN,0.016281,0,0,1,1,0,1
NORTHROP GRUMMAN,ABBVIE,0.000247,1,0,0,1,1,0
OWENS & MINOR,ABBVIE,0.17524,1,0,2,3,1,0
ABBVIE,PEABODY ENERGY,0.026834,0,0,1,1,0,1
ABBVIE,PEPSICO,0.004066,0,0,1,1,0,1
ABBVIE,PPG INDUSTRIES,0.004775,1,1,0,2,0,1
ABBVIE,PRINCIPAL FINANCIAL,0.046008,0,0,1,1,0,1
ABBVIE,PUBLIC SERVICE ENTERPRISE GROUP,0.002066,0,0,1,1,0,1
ABBVIE,RAYTHEON,4.5e-05,0,0,1,1,0,1
RITE AID,ABBVIE,0.054299,1,0,2,3,1,0
ROCKWELL COLLINS,ABBVIE,0.000766,1,0,1,2,1,0
ABBVIE,SOUTHERN,0.006389,0,0,1,1,0,1
ABBVIE,SOUTHWEST AIRLINES,0.000221,0,0,1,1,0,1
ABBVIE,TARGET,0.006159,0,0,1,1,0,1
TENET HEALTHCARE,ABBVIE,0.020288,1,0,1,2,1,0
ABBVIE,TEXAS INSTRUMENTS,0.000584,0,0,2,2,0,1
ABBVIE,UNITED AIRLINES HOLDINGS,0.125917,0,0,2,2,0,1
ABBVIE,UNITED PARCEL SERVICE,0.016281,0,0,1,1,0,1
UNITED TECHNOLOGIES,ABBVIE,0.000617,1,0,0,1,1,0
ABBVIE,VERIZON,0.000247,0,0,1,1,0,1
