source,target,weight
ALLY FINANCIAL,DANAHER,0.03134699999999999
ALLY FINANCIAL,FIFTH THIRD BANCORP,0.20334699999999994
ALLY FINANCIAL,GOLDMAN SACHS GROUP,0.026999999999999996
ALLY FINANCIAL,KEYCORP,0.10334699999999997
ALLY FINANCIAL,NORTHERN TRUST,0.20334699999999994
ALLY FINANCIAL,NORTHWESTERN MUTUAL,0.20334699999999994
ALLY FINANCIAL,ONEOK,0.018224999999999998
ALLY FINANCIAL,PNC FINANCIAL SERVICES,0.20334699999999994
ALLY FINANCIAL,QUEST DIAGNOSTICS,0.013121999999999998
ALLY FINANCIAL,REGIONS FINANCIAL,0.17199999999999996
ALLY FINANCIAL,STATE STREET CORP.,0.09999999999999998
ALLY FINANCIAL,SYNCHRONY FINANCIAL,0.20334699999999994
ALLY FINANCIAL,U.S. BANCORP,0.20334699999999994
ALLY FINANCIAL,VISA,0.09999999999999998
ALPHABET,AMAZON,0.07600138414477646
ALPHABET,APPLE,0.07199999999999998
ALPHABET,APPLIED MATERIALS,0.12078051428571424
ALPHABET,AT&T,0.014042738239548463
ALPHABET,CHARTER COMMUNICATIONS,0.01258498471906217
ALPHABET,CISCO SYSTEMS,0.1302222540038386
ALPHABET,CITIGROUP,0.0012868195755915564
ALPHABET,COGNIZANT TECHNOLOGY SOLUTIONS,0.13273793678571424
ALPHABET,COMCAST,0.17199999999999996
ALPHABET,CUMMINS,0.1752222540038386
ALPHABET,FACEBOOK,0.15552170823729083
ALPHABET,HEWLETT PACKARD ENTERPRISE,0.1752222540038386
ALPHABET,HILTON WORLDWIDE HOLDINGS,0.0012868195755915564
ALPHABET,HOME DEPOT,0.006800092417403078
ALPHABET,HUMANA,0.0012868195755915564
ALPHABET,IBM,0.021242158609062173
ALPHABET,IHEARTMEDIA,0.0893087682895529
ALPHABET,INTEL,0.14800138414477637
ALPHABET,INTUIT,0.06616689256753246
ALPHABET,LABORATORY CORP. OF AMERICA,0.0012868195755915564
ALPHABET,LUMEN TECHNOLOGIES,0.24671456456918484
ALPHABET,MICRON TECHNOLOGY,0.0975983758586607
ALPHABET,MICROSOFT,0.21987663814861505
ALPHABET,ORACLE,0.19687680358583032
ALPHABET,PRINCIPAL FINANCIAL,0.01645918960906217
ALPHABET,RAYTHEON,0.006800092417403078
ALPHABET,SALESFORCE,0.10334699999999997
ALPHABET,TEXAS INSTRUMENTS,0.1752222540038386
ALPHABET,UNITED TECHNOLOGIES,0.0012868195755915564
ALPHABET,VERIZON,0.01938507713646525
ALTRIA GROUP,AMERIPRISE FINANCIAL,0.0014427168108226867
ALTRIA GROUP,BANK OF AMERICA,0.0023369667359872254
ALTRIA GROUP,COCA-COLA,0.03855021082234256
ALTRIA GROUP,FEDEX,0.0026279901453315625
ALTRIA GROUP,HARTFORD FINANCIAL SERVICES,0.0035720059146561976
ALTRIA GROUP,JPMORGAN CHASE & CO.,0.002129289103833511
ALTRIA GROUP,MUTUAL OF OMAHA INSURANCE,0.0029304065314439335
ALTRIA GROUP,NORTHWESTERN MUTUAL,0.0005375483583549154
ALTRIA GROUP,PRINCIPAL FINANCIAL,0.0035124895355033115
ALTRIA GROUP,RAYTHEON,0.0022771965230115065
ALTRIA GROUP,STATE FARM INSURANCE,0.0016138751639521807
ALTRIA GROUP,TIAA,0.0026744357269393513
ALTRIA GROUP,UNITED TECHNOLOGIES,0.002129289103833511
AMAZON,AMEREN,0.001839607694480351
AMAZON,AMERICAN AIRLINES GROUP,0.002901833376284175
AMAZON,AMERICAN FAMILY INSURANCE GROUP,0.0353650532439349
AMAZON,AMERIPRISE FINANCIAL,0.00035576601674479883
AMAZON,APPLIED MATERIALS,0.04878051428571428
AMAZON,AT&T,0.019654319498640264
AMAZON,BALL,0.11760741564755939
AMAZON,BANK OF AMERICA,0.0004469769613843322
AMAZON,BECTON DICKINSON,0.004787623196757693
AMAZON,BERKSHIRE HATHAWAY,0.003182803835716405
AMAZON,BOEING,0.0009989086403413589
AMAZON,BOSTON SCIENTIFIC,0.059542194535714285
AMAZON,CAPITAL ONE FINANCIAL,0.06807741294139595
AMAZON,CARDINAL HEALTH,0.22675922553571426
AMAZON,CBS,0.02598987658868681
AMAZON,CENTENE,4.678975290102755e-05
AMAZON,CHARTER COMMUNICATIONS,0.0055048271713940816
AMAZON,CHEVRON,0.0008068642787906168
AMAZON,CISCO SYSTEMS,0.08006224018898642
AMAZON,COGNIZANT TECHNOLOGY SOLUTIONS,0.05475922553571428
AMAZON,CORNING,0.0025370985147944083
AMAZON,CUMMINS,0.1774906845341639
AMAZON,CVS HEALTH,4.927178622702223e-05
AMAZON,DELL TECHNOLOGIES,0.20527934669217
AMAZON,DELTA AIR LINES,0.005770110955681074
AMAZON,DUKE ENERGY,0.0033107937392684436
AMAZON,ENTERGY,0.0034696031666501424
AMAZON,EXELON,4.7529786458093885e-05
AMAZON,EXXONMOBIL,9.284217828958385e-05
AMAZON,FACEBOOK,0.2205382964027283
AMAZON,FEDEX,0.0021998288835126008
AMAZON,FOX CORP,0.02686285636323263
AMAZON,GENERAL DYNAMICS,0.0011667394384566702
AMAZON,GENERAL ELECTRIC,0.009226553928398084
AMAZON,GENERAL MILLS,0.22078051428571424
AMAZON,GENERAL MOTORS,0.13460726491326516
AMAZON,HARTFORD FINANCIAL SERVICES,0.005849764681706356
AMAZON,HEWLETT PACKARD ENTERPRISE,0.10384623290559317
AMAZON,HOME DEPOT,0.0019377517002517504
AMAZON,HONEYWELL INTERNATIONAL,0.021755423392941512
AMAZON,HP,0.0023768314513867572
AMAZON,IBM,0.08566561911574824
AMAZON,INTEL,0.08858601752613172
AMAZON,INTUIT,0.04836120342662337
AMAZON,JOHNSON & JOHNSON,0.003139660469922299
AMAZON,KROGER,0.003988153344814121
AMAZON,LEIDOS HOLDINGS,0.02435195475348024
AMAZON,LOCKHEED MARTIN,0.016954439456416413
AMAZON,MICRON TECHNOLOGY,0.07899321686580806
AMAZON,MICROSOFT,0.09843760546834798
AMAZON,MOTOROLA SOLUTIONS,0.003901950948384157
AMAZON,MUTUAL OF OMAHA INSURANCE,0.014831771749897995
