source,target,weight,affil_norm,shared_n,cosine_weight,rbo_weight
AES,MARATHON PETROLEUM,0.0010809408396808878,1,1,0.058895,0.0183536945357142
AES,PPL,0.3260571425508689,7,7,0.318854,0.1460843890714285
AES,QUEST DIAGNOSTICS,5.9777546562e-05,1,1,0.012498,0.004782969
AES,SOUTHERN,0.02546711775389633,2,2,0.139431,0.0913251635357142
AES,SOUTHWEST AIRLINES,0.0399456812990494,1,1,0.303672,0.1315421945357142
AES,TESLA,0.022229088851595833,2,2,0.159893,0.0695123890714285
AES,UNION PACIFIC,0.000907080504912,2,2,0.094824,0.004782969
AES,XCEL ENERGY,0.020484852052394188,7,7,0.103791,0.0281951945357142
AFLAC,HP,0.0007108998479999988,1,1,0.012184,0.0583469999999999
AIG,ALLSTATE,0.1270151113499921,8,8,0.141241,0.1124099158087879
AIG,ALLY FINANCIAL,0.005289163271999959,2,2,0.201538,0.0131219999999999
AIG,AMERICAN EXPRESS,0.009154218397882668,1,1,0.166548,0.0549644450721874
AIG,AMERICAN FAMILY INSURANCE GROUP,0.00012527567255118374,4,4,0.024968,0.0012543623092677
AIG,AMERIPRISE FINANCIAL,0.03921348202256035,10,10,0.209808,0.0186901748372609
AIG,BANK OF AMERICA,0.005385246577295368,3,3,0.08244,0.0217744079625399
AIG,BLACKROCK,0.10952617032369252,4,4,0.197528,0.1386210693214285
AIG,CAPITAL ONE FINANCIAL,1.6419602628312885e-06,1,1,0.002431,0.0006754258588364
AIG,CHARLES SCHWAB,0.008936014743590376,1,1,0.117577,0.0760013841447764
AIG,CITIGROUP,7.909421315568847e-05,1,1,0.017092,0.0046275575213953
AIG,DISCOVER FINANCIAL SERVICES,0.0005497073863714224,1,1,0.072406,0.0075920142857142
AIG,FIFTH THIRD BANCORP,0.003386473271999985,1,1,0.147472,0.0229634999999999
AIG,FORD,0.014292900731703173,3,3,0.162101,0.0293909367857142
AIG,HARTFORD FINANCIAL SERVICES,0.0029481070030740785,8,8,0.103813,0.003549780618846
AIG,HILTON WORLDWIDE HOLDINGS,7.178367287903099e-05,1,1,0.008262,0.0086884135656053
AIG,INTERNATIONAL PAPER,8.872001014296594e-05,1,1,0.043398,0.0020443340739888
AIG,JPMORGAN CHASE & CO.,0.009597597659093746,3,3,0.127155,0.0251598381479133
AIG,KEYCORP,0.005112531551769502,1,1,0.090504,0.0564895645691848
AIG,LIBERTY MUTUAL INSURANCE GROUP,0.0007477973066351975,3,3,0.037749,0.0066032416455641
AIG,LINCOLN NATIONAL,0.020932085759874937,4,4,0.111792,0.0468103392010943
AIG,MARRIOTT INTERNATIONAL,2.8436247568277612e-05,1,1,0.006947,0.0040933133105337
AIG,MUTUAL OF OMAHA INSURANCE,0.05287793383949828,6,6,0.147092,0.0599148082373597
AIG,NATIONWIDE,0.049676013986442134,11,11,0.116171,0.0388737401889864
AIG,NEW YORK LIFE INSURANCE,0.08989497182399135,3,3,0.38468,0.0778958890714285
AIG,NEXTERA ENERGY,0.005900189174999986,1,1,0.130463,0.0452249999999999
AIG,NORTHERN TRUST,0.2935903796962253,3,3,0.530477,0.1844820037414285
AIG,NORTHWESTERN MUTUAL,0.10805969820319529,10,10,0.16398,0.0658980962331963
AIG,PNC FINANCIAL SERVICES,0.017895680682219813,2,2,0.141823,0.0630916024982542
AIG,PRINCIPAL FINANCIAL,0.000977535528219906,4,4,0.09316,0.0026232705244201
AIG,PRUDENTIAL FINANCIAL,0.02984997371207706,3,3,0.132153,0.0752914518577635
AIG,STATE FARM INSURANCE,0.00700459980894461,6,6,0.05433,0.021487820752637
AIG,SYNCHRONY FINANCIAL,0.007117258874684133,1,1,0.139619,0.0509762917273733
AIG,TIAA,0.26463175855771304,5,5,0.289746,0.1826646501126594
AIG,U.S. BANCORP,0.0017606312279999864,1,1,0.134174,0.0131219999999999
AIG,UNITED TECHNOLOGIES,0.00043408104574931797,1,1,0.021154,0.0205200456532721
AIR PRODUCTS & CHEMICALS,CONSOLIDATED EDISON,0.0011701361249999937,1,1,0.064205,0.0182249999999999
AIR PRODUCTS & CHEMICALS,DAVITA,0.0006623876249999965,1,1,0.036345,0.0182249999999999
AIR PRODUCTS & CHEMICALS,ENERGY TRANSFER,0.035007776099999936,2,2,0.275869,0.0634499999999999
AIR PRODUCTS & CHEMICALS,ENTERGY,0.011219870249999975,2,2,0.124045,0.0452249999999999
AIR PRODUCTS & CHEMICALS,FLUOR,0.4589318718749998,3,3,0.674875,0.2266749999999999
AIR PRODUCTS & CHEMICALS,HOLLYFRONTIER,0.0015265988999999917,2,2,0.041882,0.0182249999999999
AIR PRODUCTS & CHEMICALS,HUNTSMAN,0.019724250599999955,2,2,0.218068,0.0452249999999999
AIR PRODUCTS & CHEMICALS,JETBLUE AIRWAYS,0.001091367674999994,1,1,0.059883,0.0182249999999999
AIR PRODUCTS & CHEMICALS,LEIDOS HOLDINGS,0.045058933799999895,4,4,0.249082,0.0452249999999999
AIR PRODUCTS & CHEMICALS,MICRON TECHNOLOGY,0.21589863119999997,3,3,0.531312,0.13545
AIR PRODUCTS & CHEMICALS,NORTHROP GRUMMAN,0.11040223859999983,4,4,0.434997,0.0634499999999999
AIR PRODUCTS & CHEMICALS,ORACLE,0.01311099884999997,2,2,0.144953,0.0452249999999999
AIR PRODUCTS & CHEMICALS,OSHKOSH,0.09517998399999994,1,1,0.553372,0.1719999999999999
ALASKA AIR GROUP,AMAZON,0.016060648892029426,3,3,0.062666,0.0854298922968831
ALASKA AIR GROUP,AMERICAN AIRLINES GROUP,5.202104872098213,27,27,0.577822,0.3334427398376184
ALASKA AIR GROUP,AMERICAN ELECTRIC POWER,3.453295299217365e-07,1,1,0.001505,0.0002294548371573
ALASKA AIR GROUP,BANK OF AMERICA,1.3243335792563679e-05,1,1,0.007199,0.0018396076944803
