source,target,weight,affil_norm
ABBVIE,WESTROCK,1,0.0004528985507246377
ABBVIE,XCEL ENERGY,1,0.0004528985507246377
ABM INDUSTRIES,AECOM,3,0.001358695652173913
ABM INDUSTRIES,AMEREN,2,0.0009057971014492754
ABM INDUSTRIES,AMERICAN ELECTRIC POWER,2,0.0009057971014492754
ABM INDUSTRIES,AT&T,1,0.0004528985507246377
ABM INDUSTRIES,BERKSHIRE HATHAWAY,3,0.001358695652173913
ABM INDUSTRIES,CENTERPOINT ENERGY,3,0.001358695652173913
ABM INDUSTRIES,CHARTER COMMUNICATIONS,1,0.0004528985507246377
ABM INDUSTRIES,CHEMOURS,1,0.0004528985507246377
ABM INDUSTRIES,CHEVRON,2,0.0009057971014492754
ABM INDUSTRIES,CMS ENERGY,4,0.0018115942028985507
ABM INDUSTRIES,CONOCOPHILLIPS,1,0.0004528985507246377
ABM INDUSTRIES,CORNING,1,0.0004528985507246377
ABM INDUSTRIES,CUMMINS,1,0.0004528985507246377
ABM INDUSTRIES,DELL TECHNOLOGIES,1,0.0004528985507246377
ABM INDUSTRIES,DTE ENERGY,3,0.001358695652173913
ABM INDUSTRIES,DUKE ENERGY,2,0.0009057971014492754
ABM INDUSTRIES,DUPONT DE NEMOURS,2,0.0009057971014492754
ABM INDUSTRIES,ECOLAB,1,0.0004528985507246377
ABM INDUSTRIES,ENTERGY,3,0.001358695652173913
ABM INDUSTRIES,EXELON,2,0.0009057971014492754
ABM INDUSTRIES,EXXONMOBIL,2,0.0009057971014492754
ABM INDUSTRIES,FIRSTENERGY,3,0.001358695652173913
ABM INDUSTRIES,FLUOR,1,0.0004528985507246377
ABM INDUSTRIES,GENERAL ELECTRIC,1,0.0004528985507246377
ABM INDUSTRIES,GENERAL MOTORS,2,0.0009057971014492754
ABM INDUSTRIES,HOLLYFRONTIER,1,0.0004528985507246377
ABM INDUSTRIES,HONEYWELL INTERNATIONAL,5,0.0022644927536231885
ABM INDUSTRIES,INTEL,2,0.0009057971014492754
ABM INDUSTRIES,LOCKHEED MARTIN,1,0.0004528985507246377
ABM INDUSTRIES,MICROSOFT,2,0.0009057971014492754
ABM INDUSTRIES,MOTOROLA SOLUTIONS,1,0.0004528985507246377
ABM INDUSTRIES,PEABODY ENERGY,1,0.0004528985507246377
ABM INDUSTRIES,PG&E,3,0.001358695652173913
ABM INDUSTRIES,PPL,2,0.0009057971014492754
ABM INDUSTRIES,PUBLIC SERVICE ENTERPRISE GROUP,2,0.0009057971014492754
ABM INDUSTRIES,RAYTHEON,2,0.0009057971014492754
ABM INDUSTRIES,UNITED TECHNOLOGIES,2,0.0009057971014492754
ABM INDUSTRIES,VERIZON,1,0.0004528985507246377
ABM INDUSTRIES,WEC ENERGY GROUP,2,0.0009057971014492754
ABM INDUSTRIES,WHIRLPOOL,1,0.0004528985507246377
ABM INDUSTRIES,XCEL ENERGY,3,0.001358695652173913
ADOBE,FACEBOOK,1,0.0004528985507246377
ADOBE,IBM,1,0.0004528985507246377
ADP,BEST BUY,2,0.0009057971014492754
ADP,CVS HEALTH,2,0.0009057971014492754
ADP,HOME DEPOT,2,0.0009057971014492754
ADP,MCDONALD'S,2,0.0009057971014492754
ADVANCED MICRO DEVICES,AMAZON,2,0.0009057971014492754
ADVANCED MICRO DEVICES,APPLIED MATERIALS,2,0.0009057971014492754
ADVANCED MICRO DEVICES,CHEMOURS,1,0.0004528985507246377
ADVANCED MICRO DEVICES,CISCO SYSTEMS,1,0.0004528985507246377
ADVANCED MICRO DEVICES,CORNING,2,0.0009057971014492754
ADVANCED MICRO DEVICES,DUPONT DE NEMOURS,1,0.0004528985507246377
ADVANCED MICRO DEVICES,HEWLETT PACKARD ENTERPRISE,1,0.0004528985507246377
ADVANCED MICRO DEVICES,HONEYWELL INTERNATIONAL,1,0.0004528985507246377
ADVANCED MICRO DEVICES,HP,1,0.0004528985507246377
ADVANCED MICRO DEVICES,IBM,2,0.0009057971014492754
ADVANCED MICRO DEVICES,INTEL,2,0.0009057971014492754
ADVANCED MICRO DEVICES,MICRON TECHNOLOGY,2,0.0009057971014492754
ADVANCED MICRO DEVICES,QUALCOMM,1,0.0004528985507246377
ADVANCED MICRO DEVICES,TEXAS INSTRUMENTS,2,0.0009057971014492754
ADVANCED MICRO DEVICES,WESTERN DIGITAL,2,0.0009057971014492754
AECOM,AES,2,0.0009057971014492754
AECOM,AIR PRODUCTS & CHEMICALS,3,0.001358695652173913
AECOM,ALASKA AIR GROUP,6,0.002717391304347826
AECOM,AMAZON,4,0.0018115942028985507
AECOM,AMEREN,2,0.0009057971014492754
AECOM,AMERICAN AIRLINES GROUP,6,0.002717391304347826
AECOM,AMERICAN FAMILY INSURANCE GROUP,2,0.0009057971014492754
AECOM,AMERIPRISE FINANCIAL,1,0.0004528985507246377
AECOM,AMGEN,1,0.0004528985507246377
AECOM,APPLIED MATERIALS,1,0.0004528985507246377
AECOM,ARAMARK,1,0.0004528985507246377
AECOM,AT&T,1,0.0004528985507246377
AECOM,BALL,4,0.0018115942028985507
AECOM,BERKSHIRE HATHAWAY,8,0.0036231884057971015
AECOM,BOEING,2,0.0009057971014492754
AECOM,BRISTOL-MYERS SQUIBB,1,0.0004528985507246377
AECOM,CATERPILLAR,1,0.0004528985507246377
AECOM,CENTENE,3,0.001358695652173913
AECOM,CHEMOURS,2,0.0009057971014492754
AECOM,CHEVRON,2,0.0009057971014492754
AECOM,CHS,1,0.0004528985507246377
AECOM,CISCO SYSTEMS,1,0.0004528985507246377
AECOM,CMS ENERGY,3,0.001358695652173913
AECOM,COGNIZANT TECHNOLOGY SOLUTIONS,3,0.001358695652173913
AECOM,CONOCOPHILLIPS,2,0.0009057971014492754
AECOM,CORNING,3,0.001358695652173913
AECOM,CSX,3,0.001358695652173913
AECOM,CUMMINS,9,0.004076086956521739
AECOM,DELL TECHNOLOGIES,1,0.0004528985507246377
AECOM,DELTA AIR LINES,13,0.00588768115942029
AECOM,DTE ENERGY,3,0.001358695652173913
AECOM,DUKE ENERGY,6,0.002717391304347826
AECOM,ECOLAB,1,0.0004528985507246377
AECOM,EDISON INTERNATIONAL,2,0.0009057971014492754
AECOM,ENERGY TRANSFER,2,0.0009057971014492754
AECOM,ENTERGY,2,0.0009057971014492754
AECOM,EVERSOURCE ENERGY,1,0.0004528985507246377
AECOM,EXELON,5,0.0022644927536231885
AECOM,EXXONMOBIL,4,0.0018115942028985507
AECOM,FACEBOOK,1,0.0004528985507246377
AECOM,FEDEX,4,0.0018115942028985507
AECOM,FIRSTENERGY,2,0.0009057971014492754
AECOM,FLUOR,3,0.001358695652173913
AECOM,FORD,1,0.0004528985507246377
AECOM,GENERAL DYNAMICS,8,0.0036231884057971015
AECOM,GENERAL ELECTRIC,11,0.004981884057971014
AECOM,GENERAL MOTORS,1,0.0004528985507246377
AECOM,GILEAD SCIENCES,1,0.0004528985507246377
AECOM,GRAPHIC PACKAGING HOLDING,1,0.0004528985507246377
AECOM,HARTFORD FINANCIAL SERVICES,1,0.0004528985507246377
AECOM,HEWLETT PACKARD ENTERPRISE,2,0.0009057971014492754
AECOM,HOLLYFRONTIER,2,0.0009057971014492754
AECOM,HOME DEPOT,1,0.0004528985507246377
AECOM,HONEYWELL INTERNATIONAL,4,0.0018115942028985507
AECOM,HUNTSMAN,1,0.0004528985507246377
AECOM,IBM,6,0.002717391304347826
AECOM,IHEARTMEDIA,1,0.0004528985507246377
AECOM,JACOBS ENGINEERING GROUP,4,0.0018115942028985507
AECOM,JETBLUE AIRWAYS,1,0.0004528985507246377
AECOM,KROGER,1,0.0004528985507246377
AECOM,L3HARRIS TECHNOLOGIES,1,0.0004528985507246377
AECOM,LABORATORY CORP. OF AMERICA,2,0.0009057971014492754
AECOM,LEIDOS HOLDINGS,10,0.004528985507246377
AECOM,LIBERTY MUTUAL INSURANCE GROUP,1,0.0004528985507246377
AECOM,LOCKHEED MARTIN,8,0.0036231884057971015
AECOM,MAGELLAN HEALTH,2,0.0009057971014492754
AECOM,MICRON TECHNOLOGY,2,0.0009057971014492754
AECOM,MICROSOFT,1,0.0004528985507246377
AECOM,NORTHROP GRUMMAN,7,0.003170289855072464
AECOM,ORACLE,2,0.0009057971014492754
AECOM,OSHKOSH,1,0.0004528985507246377
AECOM,OWENS CORNING,1,0.0004528985507246377
AECOM,PG&E,5,0.0022644927536231885
AECOM,POLARIS INC,2,0.0009057971014492754
AECOM,PPG INDUSTRIES,7,0.003170289855072464
AECOM,PPL,2,0.0009057971014492754
AECOM,PUBLIC SERVICE ENTERPRISE GROUP,3,0.001358695652173913
AECOM,QUEST DIAGNOSTICS,1,0.0004528985507246377
AECOM,RAYTHEON,10,0.004528985507246377
AECOM,SHERWIN-WILLIAMS,2,0.0009057971014492754
AECOM,SOUTHERN,2,0.0009057971014492754
AECOM,SOUTHWEST AIRLINES,5,0.0022644927536231885
AECOM,STANLEY BLACK & DECKER,1,0.0004528985507246377
AECOM,TESLA,1,0.0004528985507246377
AECOM,TEXTRON,3,0.001358695652173913
AECOM,UNION PACIFIC,8,0.0036231884057971015
AECOM,UNITED AIRLINES HOLDINGS,7,0.003170289855072464
AECOM,UNITED TECHNOLOGIES,9,0.004076086956521739
AECOM,USAA,2,0.0009057971014492754
AECOM,VALERO ENERGY,1,0.0004528985507246377
AECOM,VERIZON,1,0.0004528985507246377
AECOM,WESTROCK,1,0.0004528985507246377
AECOM,WEYERHAEUSER,1,0.0004528985507246377
AECOM,XCEL ENERGY,4,0.0018115942028985507
AES,ALASKA AIR GROUP,2,0.0009057971014492754
AES,AMAZON,2,0.0009057971014492754
AES,AMEREN,2,0.0009057971014492754
AES,AMERICAN AIRLINES GROUP,3,0.001358695652173913
AES,AMERICAN ELECTRIC POWER,6,0.002717391304347826
AES,AMERIPRISE FINANCIAL,1,0.0004528985507246377
AES,ARAMARK,1,0.0004528985507246377
AES,AT&T,1,0.0004528985507246377
AES,BALL,1,0.0004528985507246377
AES,BERKSHIRE HATHAWAY,9,0.004076086956521739
AES,CENTENE,1,0.0004528985507246377
AES,CENTERPOINT ENERGY,1,0.0004528985507246377
AES,CHS,1,0.0004528985507246377
AES,CIGNA,1,0.0004528985507246377
AES,CMS ENERGY,7,0.003170289855072464
AES,CONSTELLATION BRANDS,1,0.0004528985507246377
AES,CSX,1,0.0004528985507246377
AES,CUMMINS,4,0.0018115942028985507
AES,DELTA AIR LINES,2,0.0009057971014492754
AES,DTE ENERGY,7,0.003170289855072464
AES,DUKE ENERGY,4,0.0018115942028985507
AES,ECOLAB,1,0.0004528985507246377
AES,EDISON INTERNATIONAL,1,0.0004528985507246377
AES,ELI LILLY,1,0.0004528985507246377
AES,ENTERGY,5,0.0022644927536231885
AES,EVERSOURCE ENERGY,5,0.0022644927536231885
AES,EXELON,6,0.002717391304347826
AES,EXXONMOBIL,1,0.0004528985507246377
AES,FEDEX,2,0.0009057971014492754
AES,FIRSTENERGY,5,0.0022644927536231885
AES,GENERAL DYNAMICS,2,0.0009057971014492754
AES,GENERAL ELECTRIC,2,0.0009057971014492754
AES,GENERAL MOTORS,1,0.0004528985507246377
AES,INTERNATIONAL PAPER,1,0.0004528985507246377
AES,L3HARRIS TECHNOLOGIES,1,0.0004528985507246377
AES,LEIDOS HOLDINGS,2,0.0009057971014492754
AES,LIVE NATION ENTERTAINMENT,1,0.0004528985507246377
AES,LOCKHEED MARTIN,1,0.0004528985507246377
AES,LUMEN TECHNOLOGIES,1,0.0004528985507246377
AES,MARATHON PETROLEUM,1,0.0004528985507246377
AES,NATIONWIDE,1,0.0004528985507246377
AES,PG&E,4,0.0018115942028985507
AES,PHILLIPS 66,1,0.0004528985507246377
AES,PPL,7,0.003170289855072464
AES,PRINCIPAL FINANCIAL,1,0.0004528985507246377
AES,QUEST DIAGNOSTICS,1,0.0004528985507246377
AES,RAYTHEON,2,0.0009057971014492754
AES,SOUTHERN,2,0.0009057971014492754
AES,SOUTHWEST AIRLINES,1,0.0004528985507246377
AES,TESLA,2,0.0009057971014492754
AES,UNION PACIFIC,2,0.0009057971014492754
AES,UNITED AIRLINES HOLDINGS,2,0.0009057971014492754
AES,UNITED TECHNOLOGIES,2,0.0009057971014492754
AES,VERIZON,1,0.0004528985507246377
AES,WALGREENS BOOTS ALLIANCE,1,0.0004528985507246377
AES,XCEL ENERGY,7,0.003170289855072464
AFLAC,AMAZON,1,0.0004528985507246377
AFLAC,AT&T,2,0.0009057971014492754
AFLAC,CISCO SYSTEMS,2,0.0009057971014492754
AFLAC,COCA-COLA,2,0.0009057971014492754
AFLAC,GENERAL MOTORS,1,0.0004528985507246377
AFLAC,HP,1,0.0004528985507246377
AFLAC,IBM,2,0.0009057971014492754
AIG,ALLSTATE,8,0.0036231884057971015
AIG,ALLY FINANCIAL,2,0.0009057971014492754
AIG,ALTRIA GROUP,1,0.0004528985507246377
AIG,AMERICAN EXPRESS,1,0.0004528985507246377
AIG,AMERICAN FAMILY INSURANCE GROUP,4,0.0018115942028985507
AIG,AMERIPRISE FINANCIAL,10,0.004528985507246377
AIG,BANK OF AMERICA,3,0.001358695652173913
AIG,BANK OF NEW YORK MELLON,1,0.0004528985507246377
AIG,BLACKROCK,4,0.0018115942028985507
AIG,BOEING,2,0.0009057971014492754
AIG,BRIGHTHOUSE FINANCIAL,1,0.0004528985507246377
AIG,CAPITAL ONE FINANCIAL,1,0.0004528985507246377
AIG,CBS,2,0.0009057971014492754
AIG,CHARLES SCHWAB,1,0.0004528985507246377
AIG,CITIGROUP,1,0.0004528985507246377
AIG,CITIZENS FINANCIAL GROUP,1,0.0004528985507246377
AIG,COCA-COLA,1,0.0004528985507246377
AIG,DISCOVER FINANCIAL SERVICES,1,0.0004528985507246377
AIG,ENTERGY,1,0.0004528985507246377
AIG,EXXONMOBIL,1,0.0004528985507246377
AIG,FIFTH THIRD BANCORP,1,0.0004528985507246377
AIG,FORD,3,0.001358695652173913
AIG,FOX CORP,1,0.0004528985507246377
AIG,GOLDMAN SACHS GROUP,1,0.0004528985507246377
AIG,HARTFORD FINANCIAL SERVICES,8,0.0036231884057971015
AIG,HILTON WORLDWIDE HOLDINGS,1,0.0004528985507246377
AIG,INTERNATIONAL PAPER,1,0.0004528985507246377
AIG,JPMORGAN CHASE & CO.,3,0.001358695652173913
AIG,KEYCORP,1,0.0004528985507246377
AIG,LIBERTY MUTUAL INSURANCE GROUP,3,0.001358695652173913
AIG,LINCOLN NATIONAL,4,0.0018115942028985507
AIG,LOEWS,1,0.0004528985507246377
