firm,community,within_comm_eigenvector,z_score,participation_coeff,global_pagerank,katz_centrality,ga_role
PUBLIX SUPER MARKETS,1,0.052979,-0.7006,0.8148,0.003001,0.049105,kinless
CARDINAL HEALTH,3,0.05249,-1.196,0.7871,0.001722,0.034219,non_hub_connector
BOEING,2,0.052421,-1.3357,0.7067,0.001994,0.038152,non_hub_connector
ALLSTATE,1,0.051415,-0.9403,0.8075,0.002608,0.044433,kinless
APACHE,3,0.051403,-1.2201,0.0,0.000857,0.016196,ultra_peripheral
NRG ENERGY,3,0.051403,-1.2201,0.0,0.000857,0.016196,ultra_peripheral
NGL ENERGY PARTNERS,3,0.051403,-1.2201,0.0,0.000857,0.016196,ultra_peripheral
MICROSOFT,5,0.050172,-1.2776,0.8196,0.002155,0.035911,kinless
WESCO INTERNATIONAL,0,0.049654,-1.0595,0.0,0.000776,0.014058,ultra_peripheral
COSTCO,0,0.049654,-1.0595,0.0,0.000776,0.014058,ultra_peripheral
INTERPUBLIC GROUP,2,0.049451,-1.4838,0.6618,0.001882,0.031976,non_hub_connector
BRIGHTHOUSE FINANCIAL,1,0.048875,-0.8716,0.7258,0.001858,0.024945,non_hub_connector
COGNIZANT TECHNOLOGY SOLUTIONS,1,0.048287,-0.8433,0.7928,0.002137,0.034536,non_hub_connector
FREEPORT-MCMORAN,0,0.048172,-1.0216,0.5994,0.001169,0.021054,peripheral
LIBERTY MEDIA,0,0.047197,-0.7159,0.7966,0.001988,0.031226,non_hub_connector
HORMEL FOODS,3,0.045021,-0.9515,0.7676,0.001844,0.03011,non_hub_connector
NEWMONT,3,0.044638,-1.1923,0.6919,0.001359,0.025201,non_hub_connector
CAESARS ENTERTAINMENT,0,0.044265,-1.0382,0.3984,0.000997,0.015998,peripheral
TEXTRON,2,0.043252,-1.4652,0.5412,0.001508,0.026919,peripheral
MUTUAL OF OMAHA INSURANCE,1,0.042409,-1.0687,0.8035,0.002087,0.031121,kinless
NEWS CORP.,0,0.041757,-0.9438,0.8073,0.001765,0.028344,kinless
AVIS BUDGET GROUP,0,0.041149,-1.0872,0.7808,0.00141,0.024586,non_hub_connector
FOX CORP,0,0.040627,-0.8158,0.5553,0.001217,0.018088,peripheral
LIVE NATION ENTERTAINMENT,1,0.040516,-1.1303,0.8046,0.002223,0.038145,kinless
OSHKOSH,2,0.040359,-1.4975,0.3836,0.001371,0.024294,peripheral
