firm,community,within_comm_eigenvector,z_score,participation_coeff,global_pagerank,katz_centrality,ga_role
HONEYWELL INTERNATIONAL,1,0.10963,0.1554,0.7829,0.004095,0.073014,non_hub_connector
INTERNATIONAL PAPER,1,0.109546,0.1963,0.7596,0.003681,0.06761,non_hub_connector
CAPITAL ONE FINANCIAL,0,0.108942,0.2601,0.7601,0.002853,0.05255,non_hub_connector
CATERPILLAR,1,0.108643,0.1109,0.7811,0.00421,0.076748,non_hub_connector
ILLINOIS TOOL WORKS,1,0.107939,0.1331,0.7199,0.003229,0.059892,non_hub_connector
ENTERPRISE PRODUCTS PARTNERS,1,0.107922,0.0225,0.7449,0.003569,0.067701,non_hub_connector
SEMPRA ENERGY,1,0.107796,0.0522,0.7493,0.003313,0.060663,non_hub_connector
NAVIENT,0,0.107687,0.22,0.7496,0.002711,0.048471,non_hub_connector
NEW YORK LIFE INSURANCE,0,0.107639,0.3191,0.7519,0.002911,0.05133,non_hub_connector
UNITED TECHNOLOGIES,1,0.107416,0.0564,0.773,0.003898,0.070091,non_hub_connector
MARSH & MCLENNAN,0,0.107231,0.2999,0.7496,0.003042,0.053089,non_hub_connector
DXC TECHNOLOGY,4,0.106874,-0.5442,0.6786,0.001695,0.027082,non_hub_connector
WEYERHAEUSER,1,0.106346,-0.0003,0.749,0.003284,0.062503,non_hub_connector
EMERSON ELECTRIC,2,0.106204,-0.225,0.7855,0.003029,0.056609,non_hub_connector
AIR PRODUCTS & CHEMICALS,1,0.106033,-0.0222,0.1858,0.001626,0.029578,peripheral
GENERAL MOTORS,1,0.106008,0.0255,0.7861,0.004179,0.074528,non_hub_connector
COMCAST,2,0.105894,-0.223,0.7924,0.003241,0.059634,non_hub_connector
NUCOR,1,0.105802,0.0536,0.7032,0.002939,0.055393,non_hub_connector
ALASKA AIR GROUP,3,0.105789,-0.3768,0.7763,0.00217,0.041037,non_hub_connector
UNITED PARCEL SERVICE,2,0.10552,-0.2343,0.7898,0.003413,0.063769,non_hub_connector
ALLSTATE,0,0.105482,0.3331,0.7801,0.003493,0.058639,non_hub_connector
PEPSICO,2,0.105423,-0.1589,0.7563,0.002706,0.050724,non_hub_connector
FRANKLIN RESOURCES,0,0.105258,0.0963,0.7402,0.002509,0.047855,non_hub_connector
EXXONMOBIL,1,0.105121,0.001,0.768,0.003807,0.066874,non_hub_connector
APACHE,1,0.104494,-0.0954,0.1724,0.001596,0.029042,peripheral
NRG ENERGY,1,0.104494,-0.0954,0.1724,0.001596,0.029042,peripheral
NGL ENERGY PARTNERS,1,0.104494,-0.0954,0.1724,0.001596,0.029042,peripheral
OWENS-ILLINOIS,1,0.104353,-0.0172,0.7762,0.003825,0.069805,non_hub_connector
LENNAR,1,0.104295,-0.156,0.7061,0.002728,0.049005,non_hub_connector
PLAINS GP HOLDINGS,1,0.10399,-0.122,0.6648,0.002613,0.049125,non_hub_connector
WALMART,4,0.103807,-0.4559,0.7936,0.003648,0.065514,non_hub_connector
CORNING,1,0.103584,-0.1173,0.7823,0.004053,0.075814,non_hub_connector
LAND O'LAKES,4,0.103216,-0.5379,0.7945,0.003359,0.061307,non_hub_connector
W.W. GRAINGER,3,0.10308,-0.3535,0.5752,0.001225,0.019676,peripheral
CONAGRA BRANDS,2,0.102687,-0.2591,0.6985,0.00188,0.035507,non_hub_connector
PAYPAL HOLDINGS,2,0.102154,-0.3882,0.768,0.002751,0.049758,non_hub_connector
KEYCORP,0,0.102064,0.1871,0.7351,0.002551,0.045785,non_hub_connector
GENERAL MILLS,2,0.102007,-0.3092,0.758,0.002629,0.049993,non_hub_connector
MARATHON PETROLEUM,2,0.101913,-0.1746,0.7662,0.003069,0.056235,non_hub_connector
KOHL'S,0,0.101872,0.0931,0.7689,0.003178,0.059171,non_hub_connector
AMERISOURCEBERGEN,4,0.101854,-0.7484,0.2879,0.001121,0.017988,peripheral
IQVIA HOLDINGS,4,0.101635,-0.691,0.4872,0.001265,0.020794,peripheral
SOUTHWEST AIRLINES,3,0.101571,-0.4315,0.743,0.001723,0.03176,non_hub_connector
UNION PACIFIC,1,0.101526,-0.2086,0.7721,0.003626,0.069129,non_hub_connector
EOG RESOURCES,1,0.101257,-0.2418,0.2556,0.001626,0.029459,peripheral
CONOCOPHILLIPS,1,0.101153,-0.2067,0.7412,0.003056,0.055465,non_hub_connector
FORD,1,0.100814,-0.1966,0.7762,0.003863,0.068911,non_hub_connector
QURATE RETAIL,4,0.100773,-0.7106,0.7978,0.002967,0.052931,non_hub_connector
OLIN,1,0.099122,-0.2291,0.534,0.002069,0.037222,peripheral
LOWE'S,0,0.098861,0.0418,0.784,0.00375,0.065186,non_hub_connector
AMERICAN EXPRESS,0,0.098577,0.0389,0.7499,0.002625,0.046147,non_hub_connector
JACOBS ENGINEERING GROUP,3,0.09856,-0.5852,0.7149,0.001753,0.032166,non_hub_connector
CITIGROUP,0,0.09795,-0.0635,0.7864,0.003477,0.064161,non_hub_connector
QUALCOMM,2,0.097936,-0.4206,0.7747,0.002625,0.048574,non_hub_connector
MARATHON OIL,1,0.097681,-0.3127,0.4898,0.001881,0.034925,peripheral
STATE FARM INSURANCE,0,0.097641,0.2108,0.6568,0.002208,0.034539,non_hub_connector
DISCOVERY,0,0.097276,-0.1808,0.7793,0.002911,0.054997,non_hub_connector
APPLE,4,0.096928,-0.7138,0.7963,0.003696,0.06625,non_hub_connector
AMERICAN FAMILY INSURANCE GROUP,0,0.096254,-0.0165,0.7699,0.002895,0.051287,non_hub_connector
OCCIDENTAL PETROLEUM,1,0.094462,-0.5132,0.7145,0.002662,0.049221,non_hub_connector
PNC FINANCIAL SERVICES,0,0.094421,-0.0046,0.3861,0.001585,0.024153,peripheral
M&T BANK CORP.,0,0.094044,-0.0135,0.3837,0.00158,0.024057,peripheral
KELLOGG,2,0.093993,-0.5171,0.7585,0.002209,0.039624,non_hub_connector
PROCTER & GAMBLE,2,0.092985,-0.5035,0.7905,0.003038,0.0554,non_hub_connector
NORTHERN TRUST,0,0.092877,-0.0354,0.7067,0.002271,0.03757,non_hub_connector
JETBLUE AIRWAYS,3,0.092831,-0.6396,0.6261,0.001207,0.021568,non_hub_connector
WASTE MANAGEMENT,0,0.092307,-0.3389,0.7744,0.002795,0.054148,non_hub_connector
NATIONWIDE,0,0.092183,-0.1224,0.776,0.003045,0.052597,non_hub_connector
CHARTER COMMUNICATIONS,0,0.092023,-0.3567,0.7717,0.002595,0.04939,non_hub_connector
TESLA,0,0.091142,-0.3875,0.7612,0.002672,0.052011,non_hub_connector
WESTERN UNION,0,0.090448,-0.178,0.73,0.002321,0.039433,non_hub_connector
ALTRIA GROUP,0,0.089885,-0.4045,0.774,0.002765,0.053399,non_hub_connector
FIFTH THIRD BANCORP,0,0.089599,-0.2314,0.7606,0.002621,0.045495,non_hub_connector
MARRIOTT INTERNATIONAL,0,0.089098,-0.3416,0.775,0.00276,0.05165,non_hub_connector
MASCO,1,0.088671,-0.7609,0.5864,0.001905,0.035643,peripheral
VISA,0,0.08864,-0.3562,0.7794,0.002949,0.054799,non_hub_connector
FIDELITY NATIONAL FINANCIAL,0,0.088139,-0.1867,0.6752,0.002069,0.033796,non_hub_connector
AECOM,1,0.087846,-0.8357,0.7253,0.002697,0.046346,non_hub_connector
RYDER SYSTEM,1,0.08742,-0.9118,0.7744,0.003179,0.06075,non_hub_connector
